experiment,method,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,star_queries,fast_only_star_queries,exact_star_queries
adaptive_compare,fixed,11337728,0,0.0307331383,0.163746059,-0.00365614891,0.190155536,0.190823048,0.000667512417,0.0165406354,0.017509928,64,22.546875,1443,1317,126
adaptive_compare,fixed,11337728,1,0.0400927067,0.0185720772,0.215102613,0.286756486,0.273767412,0.012989074,0.00419709971,0.00112740137,64,16.46875,1054,918,136
adaptive_compare,fixed,11337728,2,0.0952223241,-0.119378746,-0.0642204732,-0.0749920085,-0.0883768946,0.0133848861,0.0240563434,0.0370372869,64,23.578125,1509,1389,120
adaptive_compare,fixed,11337728,3,0.121879429,0.0993135273,0.100658894,0.317976415,0.32185185,0.0038754344,0.0208637174,0.0278588589,64,24.625,1576,1446,130
adaptive_compare,fixed,11337728,4,-0.104704514,-0.104767665,-0.168425441,-0.373195231,-0.37789762,0.00470238924,0.0187995974,0.0226191916,64,23.109375,1479,1343,136
adaptive_compare,fixed,11337728,5,0.150546879,0.149565458,0.201954246,0.502808511,0.502066612,0.000741899014,0.00925171282,0.00547802821,64,19.21875,1230,1100,130
adaptive_compare,fixed,11337728,6,0.192094773,0.202442646,0.200841814,0.596951723,0.595379233,0.00157248974,0.00390162156,0.000974249619,64,17.703125,1133,1004,129
adaptive_compare,fixed,11337728,7,0.125855237,0.0463150442,-0.160348937,-0.0143611254,0.0118213445,0.026182469,0.0166036971,0.0176436976,64,23.296875,1491,1368,123
adaptive_compare,fixed,11337728,8,0.181378305,0.139955819,-0.0421066284,0.261645913,0.279227495,0.0175815821,0.0184201244,0.0217152629,64,19.390625,1241,1136,105
adaptive_compare,fixed,11337728,9,-0.110656306,0.203385144,0.0980867445,0.205668017,0.190815583,0.0148524344,0.0068563791,0.00300863595,64,19.421875,1243,1119,124
adaptive_compare,fixed,11337728,10,0.175718546,-0.109191447,0.212373734,0.273927689,0.278900832,0.00497314334,0.00974386465,0.00607634615,64,16.46875,1054,941,113
adaptive_compare,fixed,11337728,11,0.167678416,0.135821462,-0.0467299521,0.261879981,0.256769925,0.00511005521,0.0151232705,0.0146376528,64,21.625,1384,1243,141
adaptive_compare,fixed,11337728,12,-0.158850834,0.109201372,-0.0613993406,-0.102390721,-0.111048803,0.00865808129,0.0167139433,0.0178787783,64,20,1280,1153,127
adaptive_compare,fixed,11337728,13,-0.0344887674,0.136336327,0.118438005,0.229349971,0.220285565,0.00906440616,0.0202091541,0.026138233,64,23.296875,1491,1378,113
adaptive_compare,fixed,11337728,14,-0.018140927,-0.165486544,-0.12248981,-0.302802563,-0.306117296,0.00331473351,0.0185354762,0.0219880864,64,21.046875,1347,1237,110
adaptive_compare,fixed,11337728,15,0.0389244854,-0.0162803084,-0.11985942,-0.0735348389,-0.0972152427,0.0236804038,0.0283454359,0.0514216796,64,27.21875,1742,1624,118
adaptive_compare,fixed,11337728,16,0.186487824,-0.053637445,0.186867028,0.320290804,0.319717407,0.000573396683,0.0110332305,0.00779085839,64,19.40625,1242,1125,117
adaptive_compare,fixed,11337728,17,0.0422903597,-0.216380835,-0.167325065,-0.342456639,-0.341415524,0.00104111433,0.00247611152,0.00039239219,64,14.3125,916,797,119
adaptive_compare,fixed,11337728,18,0.100269914,0.155098528,0.15412724,0.426788092,0.409495682,0.0172924101,0.0163478218,0.0171040837,64,20.96875,1342,1217,125
adaptive_compare,fixed,11337728,19,-0.0946218371,-0.195882902,-0.106126651,-0.407144308,-0.39663142,0.0105128884,0.0120315719,0.00926455855,64,18.765625,1201,1090,111
adaptive_compare,old_absolute_stderr,11337728,0,0.0307331383,0.163746059,-0.00365614891,0.190155536,0.190823048,0.000667512417,0.0165406354,0.017509928,64,22.546875,1443,1317,126
adaptive_compare,old_absolute_stderr,11337728,1,0.0400927067,0.0185720772,0.215102613,0.286756486,0.273767412,0.012989074,0.00419709971,0.00112740137,64,16.46875,1054,918,136
adaptive_compare,old_absolute_stderr,11337728,2,0.0952223241,-0.119378746,-0.0642204732,-0.0749920085,-0.0883768946,0.0133848861,0.0240563434,0.0370372869,64,23.578125,1509,1389,120
adaptive_compare,old_absolute_stderr,11337728,3,0.121879429,0.0993135273,0.100658894,0.317976415,0.32185185,0.0038754344,0.0208637174,0.0278588589,64,24.625,1576,1446,130
adaptive_compare,old_absolute_stderr,11337728,4,-0.104704514,-0.104767665,-0.168425441,-0.373195231,-0.37789762,0.00470238924,0.0187995974,0.0226191916,64,23.109375,1479,1343,136
adaptive_compare,old_absolute_stderr,11337728,5,0.150546879,0.149565458,0.201954246,0.502808511,0.502066612,0.000741899014,0.00925171282,0.00547802821,64,19.21875,1230,1100,130
adaptive_compare,old_absolute_stderr,11337728,6,0.192094773,0.202442646,0.200841814,0.596951723,0.595379233,0.00157248974,0.00390162156,0.000974249619,64,17.703125,1133,1004,129
adaptive_compare,old_absolute_stderr,11337728,7,0.125855237,0.0463150442,-0.160348937,-0.0143611254,0.0118213445,0.026182469,0.0166036971,0.0176436976,64,23.296875,1491,1368,123
adaptive_compare,old_absolute_stderr,11337728,8,0.181378305,0.139955819,-0.0421066284,0.261645913,0.279227495,0.0175815821,0.0184201244,0.0217152629,64,19.390625,1241,1136,105
adaptive_compare,old_absolute_stderr,11337728,9,-0.110656306,0.203385144,0.0980867445,0.205668017,0.190815583,0.0148524344,0.0068563791,0.00300863595,64,19.421875,1243,1119,124
adaptive_compare,old_absolute_stderr,11337728,10,0.175718546,-0.109191447,0.212373734,0.273927689,0.278900832,0.00497314334,0.00974386465,0.00607634615,64,16.46875,1054,941,113
adaptive_compare,old_absolute_stderr,11337728,11,0.167678416,0.135821462,-0.0467299521,0.261879981,0.256769925,0.00511005521,0.0151232705,0.0146376528,64,21.625,1384,1243,141
adaptive_compare,old_absolute_stderr,11337728,12,-0.158850834,0.109201372,-0.0613993406,-0.102390721,-0.111048803,0.00865808129,0.0167139433,0.0178787783,64,20,1280,1153,127
adaptive_compare,old_absolute_stderr,11337728,13,-0.0344887674,0.136336327,0.118438005,0.229349971,0.220285565,0.00906440616,0.0202091541,0.026138233,64,23.296875,1491,1378,113
adaptive_compare,old_absolute_stderr,11337728,14,-0.018140927,-0.165486544,-0.12248981,-0.302802563,-0.306117296,0.00331473351,0.0185354762,0.0219880864,64,21.046875,1347,1237,110
