experiment,method,mesh,seed,num_query_points,valid_points,walks_per_point,epsilon,min_samples,max_samples,batch_size,target_rse,elapsed_seconds,rmse,mae,mean_relative_error,mean_std_error,mean_sample_variance,mean_samples_used,median_samples_used,min_samples_used,max_samples_used,mean_steps,diverged_count,star_queries,fast_only_star_queries,exact_star_queries,refinement_ratio
adaptive_compare,fixed,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11337728,20,20,64,9.99999975e-05,8,64,8,0.0500000007,0.8254723,0.0118202803684,0.00903854020871,0.153574406849,0.0145025404287,0.0163832604987,64,64,64,64,20.6234375,0,26398,23945,2453,0.0929237063414
adaptive_compare,old_absolute_stderr,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11337728,20,20,64,9.99999975e-05,8,64,8,0.0500000007,0.811172,0.0118202803684,0.00903854020871,0.153574406849,0.0145025404287,0.0163832604987,64,64,64,64,20.6234375,0,26398,23945,2453,0.0929237063414
adaptive_compare,relative_stderr,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11337728,20,20,64,9.99999975e-05,8,64,8,0.0500000007,0.5349352,0.0194568769305,0.0137936154846,0.168732968244,0.016015968367,0.0140316788864,38.4,44,8,64,20.0291666985,0,16973,15482,1491,0.0878454015201
adaptive_compare,fixed,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11338737,20,20,64,9.99999975e-05,8,64,8,0.0500000007,0.8265602,0.011202245027,0.00776011357084,0.0809733060243,0.0142113839975,0.0155401688491,64,64,64,64,21.8015625,0,27906,25262,2644,0.0947466494661
adaptive_compare,old_absolute_stderr,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11338737,20,20,64,9.99999975e-05,8,64,8,0.0500000007,0.8222009,0.011202245027,0.00776011357084,0.0809733060243,0.0142113839975,0.0155401688491,64,64,64,64,21.8015625,0,27906,25262,2644,0.0947466494661
adaptive_compare,relative_stderr,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11338737,20,20,64,9.99999975e-05,8,64,8,0.0500000007,0.6989293,0.0119829016985,0.00905084470287,0.0834947713232,0.0159829748969,0.015227628203,47.2,64,8,64,21.77578125,0,21558,19607,1951,0.0905000463865
adaptive_compare,fixed,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11339746,20,20,64,9.99999975e-05,8,64,8,0.0500000007,0.7842311,0.0181056852707,0.0129399901722,0.220780260238,0.0136933821777,0.0149324866144,64,64,64,64,21.20234375,0,27139,24537,2602,0.0958767824901
adaptive_compare,old_absolute_stderr,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11339746,20,20,64,9.99999975e-05,8,64,8,0.0500000007,0.7971044,0.018108955587,0.0130095964763,0.220908549716,0.0136946397572,0.0149317254114,61.2,64,8,64,21.33203125,0,26570,24074,2496,0.0939405344373
adaptive_compare,relative_stderr,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11339746,20,20,64,9.99999975e-05,8,64,8,0.0500000007,0.6242912,0.0190738421534,0.0145616079215,0.227460979581,0.0139348460332,0.0143835744738,46.4,64,8,64,21.2661458015,0,21069,19167,1902,0.0902748113342
antithetic_compare,normal,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,42865,20,19,64,9.99999975e-05,8,64,8,0.0500000007,0.7126147,0.0127024562681,0.00977036651028,0.0778590094759,0.0111651729645,0.00998938942671,64,64,64,64,20.1110197368,0,24455,22100,2355,0.0962993252914
