mesh,mesh_variant,point_id,distance_bin,bin_min,bin_max,x,y,z,nearest_distance_proxy_norm,local_edge_mean_norm,local_area_norm,local_aspect_ratio,local_quality,local_normal_variation,point_index,boundary,seed,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,diverged,epsilon,walks_per_point,star_queries,fast_only_star_queries,exact_star_queries,is_valid,dataset,walks
bunny,original,0,1,0.05,0.15,-0.067084685,0.117976248,0.0773394257,0.09737175020327817,0.0055640546066623355,1.1658161306403506e-05,1.6771101699661548,0.8345503788400301,0.004748014555633229,0,neumann,12601,0.134447813,0.128230989,0.00621682405,0.0135403303,0.0469351783,256,95.3164062,0,0.0001,256,24401,22204,2197,1,part1_neumann,256
bunny,original,1,1,0.05,0.15,-0.0922575668,0.159452081,0.0443730466,0.06648822839078515,0.006698542607324648,1.53197013561852e-05,2.106330294698812,0.7276898808220521,0.0025474463904191502,1,neumann,12601,0.124169461,0.111567557,0.0126019046,0.0111190919,0.0316503569,256,81.8125,0,0.0001,256,20944,19008,1936,1,part1_neumann,256
bunny,original,2,1,0.05,0.15,-0.0933401659,0.150574431,0.0668218732,0.10237503835135735,0.005856151349208589,1.3217339588682223e-05,1.652817257831133,0.8555049854379475,0.0030894274081242346,2,neumann,12601,0.171838254,0.124056138,0.0477821156,0.0111830216,0.0320153497,256,86.8632812,0,0.0001,256,22237,20186,2051,1,part1_neumann,256
bunny,original,3,1,0.05,0.15,-0.0185285453,0.106607415,-0.0449450836,0.06714010205110166,0.0056078147858626805,1.198455420130304e-05,1.6309734133699407,0.8478016359653223,0.004021848408863289,3,neumann,12601,0.00135225593,0.0431337878,0.0417815335,0.0155981081,0.0622850507,256,131.195312,0,0.0001,256,33586,30422,3164,1,part1_neumann,256
bunny,original,4,1,0.05,0.15,-0.0976603329,0.0314677618,0.0159318298,0.10791631619695659,0.0050415918424671895,9.230803128473883e-06,1.8557081254501189,0.7874734193177868,0.20152251845428848,4,neumann,12601,-0.0837900415,-0.0502607375,0.033529304,0.0144660575,0.0535723045,256,103.0625,0,0.0001,256,26384,23969,2415,1,part1_neumann,256
bunny,original,5,1,0.05,0.15,0.0403933711,0.104567476,0.0474552549,0.053677803797356774,0.005548206855434766,1.1736316867304035e-05,1.660681466021535,0.8463934640869113,0.001289578353709279,5,neumann,12601,0.25129056,0.192416102,0.0588744581,0.0136856399,0.0479479693,256,121.113281,0,0.0001,256,31005,28251,2754,1,part1_neumann,256
bunny,original,6,1,0.05,0.15,0.0592114404,0.0807502791,-0.0263680369,0.0965031067940991,0.005933032132481733,1.4249655386033745e-05,1.4029611646051183,0.9167041872621277,0.004492452022229772,6,neumann,12601,0.118006378,0.113593683,0.00441269577,0.0155367767,0.0617962033,256,109.304688,0,0.0001,256,27982,25420,2562,1,part1_neumann,256
bunny,original,7,1,0.05,0.15,0.00316647743,0.113946065,0.0566410087,0.058359717862228024,0.005507884070769382,1.1315962924342462e-05,1.7131578513218306,0.8241568291400994,0.0063528322973043965,7,neumann,12601,0.261572719,0.173753545,0.0878191739,0.0112419287,0.0323535278,256,116.019531,0,0.0001,256,29701,26864,2837,1,part1_neumann,256
bunny,original,8,1,0.05,0.15,-0.0144315343,0.104213901,0.000829365861,0.07875551762113091,0.005800222417019295,1.3578516276922835e-05,1.4589269800788598,0.9111821941295345,0.017032429575888797,8,neumann,12601,,,,,,,,,0.0001,256,,,0,,part1_neumann,256
bunny,original,9,1,0.05,0.15,0.0340803266,0.0906737596,0.0716325417,0.10313668726335373,0.005405250147071497,1.1113525976297415e-05,1.6263409601875531,0.8463266902760065,0.005045879140500142,9,neumann,12601,,,,,,,,,0.0001,256,,,0,,part1_neumann,256
bunny,original,10,1,0.05,0.15,-0.0811202973,0.0964908004,-0.0482416078,0.13598049028278975,0.005722676650109967,1.237005421029252e-05,1.6549455170202896,0.8384885648890221,0.0020707112081789956,10,neumann,12601,-0.0766286924,-0.0328711048,0.0437575877,0.0133011658,0.0452917777,256,102.320312,0,0.0001,256,26194,23794,2400,1,part1_neumann,256
bunny,original,11,1,0.05,0.15,-0.0107402578,0.180729836,-0.0448372886,0.06099170016912638,0.005727539167491383,1.2872517919811091e-05,1.5850271298506478,0.8756628750129374,0.056662736411528226,11,neumann,12601,0.134238079,0.12515229,0.00908578932,0.00933502428,0.0223085228,256,71.8007812,0,0.0001,256,18381,16825,1556,1,part1_neumann,256
bunny,original,12,1,0.05,0.15,-0.0611755028,0.199949145,-0.0343294628,0.11128807002331247,0.005574178761540877,1.1639167559144477e-05,1.7155600797272745,0.8276183847201917,0.0028399226497881993,12,neumann,12601,0.116292022,0.104444191,0.0118478313,0.00604409864,0.00935196877,256,47.0898438,0,0.0001,256,12055,10950,1105,1,part1_neumann,256
bunny,original,13,1,0.05,0.15,-0.0350626484,0.210224673,0.00687460089,0.13424678755849265,0.006343095602779366,1.5008703182934372e-05,1.7193188549900633,0.8238170206172862,0.11376172070823105,13,neumann,12601,,,,,,,,,0.0001,256,,,0,,part1_neumann,256
bunny,original,14,1,0.05,0.15,0.0210043043,0.0194579698,0.0588089526,0.09433976260294498,0.005965893868526018,1.4717026154098152e-05,1.2838782752935831,0.9423893209370593,0.07666655762596979,14,neumann,12601,0.11461395,0.0992712229,0.0153427273,0.0161180291,0.0665064603,256,108.816406,0,0.0001,256,27857,25447,2410,1,part1_neumann,256
bunny,original,15,1,0.05,0.15,-0.0103540719,0.158047348,0.0397412069,0.12973497092012623,0.005748952363395691,1.3123701342113211e-05,1.5313504414789783,0.8910741923308537,0.005082171377873812,15,neumann,12601,0.230622724,0.18743448,0.0431882441,0.0103981597,0.0276791602,256,98.5234375,0,0.0001,256,25222,22956,2266,1,part1_neumann,256
bunny,original,16,1,0.05,0.15,-0.039521385,0.102026179,0.0672486871,0.09755270505743603,0.005646541926404667,1.2297175882409136e-05,1.609864155505332,0.8598685050534415,0.001717553210292248,16,neumann,12601,0.191713959,0.129753485,0.0619604737,0.0139140524,0.0495618209,256,121.035156,0,0.0001,256,30985,27978,3007,1,part1_neumann,256
bunny,original,17,1,0.05,0.15,0.0405099392,0.129948974,0.0078132255,0.05825629890855711,0.0054193811014348146,1.1222543158115638e-05,1.6319929254794545,0.8501586903590994,0.0005405266969723913,17,neumann,12601,0.216403753,0.178272143,0.0381316096,0.0132355038,0.0448457077,256,90.625,0,0.0001,256,23200,21080,2120,1,part1_neumann,256
bunny,original,18,1,0.05,0.15,-0.0479585342,0.144119784,-0.0611163676,0.0912039308482289,0.005659797495928717,1.2307741929984117e-05,1.6304585191527692,0.8551470575446647,0.057341908362494164,18,neumann,12601,0.00683389558,0.0350448787,0.0282109827,0.0121973129,0.0380862541,256,101.371094,0,0.0001,256,25951,23552,2399,1,part1_neumann,256
bunny,original,19,1,0.05,0.15,0.0156902131,0.126337081,-0.0448027514,0.1196704071847047,0.0055418591543457095,1.1386719688283871e-05,1.7339379047843004,0.8177098522178721,0.008080368419291606,19,neumann,12601,0.106296338,0.0972245336,0.00907180458,0.0147937164,0.0560266376,256,98.4804688,0,0.0001,256,25211,22985,2226,1,part1_neumann,256
bunny,original,20,1,0.05,0.15,-0.00702939322,0.0225085281,-0.0322350897,0.05802191404671783,0.005842576100958737,1.2851709729832665e-05,1.7445036632971749,0.8279442251315539,0.06421453182721644,20,neumann,12601,-0.072655715,-0.0167559553,0.0558997616,0.0166887082,0.0712993219,256,124.28125,0,0.0001,256,31816,28907,2909,1,part1_neumann,256
bunny,original,21,1,0.05,0.15,-0.0422468856,0.186354056,0.0362586714,0.14702472320300675,0.0054354865753330536,1.1079081488274614e-05,1.6836817320540702,0.8304823976963883,0.0073676913749798345,21,neumann,12601,0.199067265,0.180365831,0.0187014341,0.00846655667,0.0183507428,256,59.3242188,0,0.0001,256,15187,13715,1472,1,part1_neumann,256
bunny,original,22,1,0.05,0.15,-0.0139228515,0.0688166171,-0.0603689514,0.08776908277612308,0.005592359417963255,1.1675261946410542e-05,1.7217647996722198,0.824319784177115,0.005045477638522329,22,neumann,12601,-0.0781134591,-0.00547518581,0.0726382732,0.0141834356,0.0514994785,256,120.847656,0,0.0001,256,30937,28189,2748,1,part1_neumann,256
bunny,original,23,1,0.05,0.15,0.0599506907,0.115139082,0.0195783097,0.08804404189215143,0.0058375659078164594,1.2788591730055231e-05,1.7434649611927746,0.8268390703186264,0.0018153512092428474,23,neumann,12601,0.243991047,0.194668084,0.0493229628,0.0132109448,0.0446794406,256,91.6523438,0,0.0001,256,23463,21411,2052,1,part1_neumann,256
bunny,original,0,2,0.15,0.3,0.0203218441,0.192576095,-0.00220530643,0.1646381967620308,0.005901227003386365,1.3301397204626614e-05,1.6761065028003415,0.8466275899307658,0.0020217772316998284,24,neumann,12601,0.221348509,0.210692629,0.01065588,0.00764726894,0.0149710653,256,53.4414062,0,0.0001,256,13681,12477,1204,1,part1_neumann,256
bunny,original,1,2,0.15,0.3,-0.0995398015,-0.0212173685,0.0726171285,0.2952996189140681,0.005173907006910939,1.012982431669557e-05,1.6085133540228789,0.8423055781327221,0.08035621681593667,25,neumann,12601,-0.0573242493,-0.0481400415,0.00918420777,0.0134744113,0.0464792959,256,56.09375,0,0.0001,256,14360,13159,1201,1,part1_neumann,256
bunny,original,2,2,0.15,0.3,-0.0744079873,0.177519768,-0.106887363,0.1871632843916056,0.0060088333941234326,1.5512484687446066e-05,1.1310048564003006,0.9895406946353614,0.018607442746772618,26,neumann,12601,,,,,,,,,0.0001,256,,,0,,part1_neumann,256
bunny,original,3,2,0.15,0.3,-0.124111302,-0.011293429,-0.0103977034,0.2816011196452827,0.005739426989453782,1.3497869240749735e-05,1.3945155894711079,0.9296196146782888,0.1694496665477148,27,neumann,12601,-0.149986774,-0.145802438,0.00418433547,0.0138252918,0.0489315093,256,57.5078125,0,0.0001,256,14722,13362,1360,1,part1_neumann,256
bunny,original,4,2,0.15,0.3,0.0519449562,0.0162660666,0.0591917522,0.16965477447481261,0.004167950866960983,6.9862214935812154e-06,1.455351783603033,0.9079344781982827,0.023695413935604332,28,neumann,12601,0.153803915,0.127402768,0.0264011472,0.0162608735,0.0676904917,256,95.2226562,0,0.0001,256,24377,22179,2198,1,part1_neumann,256
bunny,original,5,2,0.15,0.3,-0.0585225783,0.00320395734,-0.0732873678,0.22741477247442687,0.004444611385919068,5.068119448706082e-06,2.0542212594565377,0.5426820586874214,0.33091499578067624,29,neumann,12601,-0.144256085,-0.128605992,0.0156500936,0.0135215921,0.0468053631,256,73.703125,0,0.0001,256,18868,17243,1625,1,part1_neumann,256
bunny,original,6,2,0.15,0.3,0.0981892645,0.102299035,0.00765402801,0.20251290815696357,0.0057466811891269546,1.2814196555630766e-05,1.6173040317416296,0.86448992852202,0.003363664078840589,30,neumann,12601,0.224818438,0.208142325,0.016676113,0.0123259388,0.038893763,256,81.6523438,0,0.0001,256,20903,19064,1839,1,part1_neumann,256
bunny,original,7,2,0.15,0.3,-0.122722015,0.15032202,0.0847506225,0.22049750875282303,0.005598369349959359,1.1566213261968758e-05,1.7460416250300914,0.8130304110476643,0.005352661333464866,31,neumann,12601,0.115113437,0.112350628,0.0027628094,0.0104901167,0.028170893,256,45.3710938,0,0.0001,256,11615,10665,950,1,part1_neumann,256
bunny,original,8,2,0.15,0.3,-0.126045391,0.159733072,-0.0730734691,0.22436327680197096,0.006179316470315913,1.5903871492854614e-05,1.3268939532051425,0.9493467676404936,0.09997202917607029,32,neumann,12601,-0.0560842268,-0.0393857881,0.0166984387,0.0100990878,0.0261098426,256,46.828125,0,0.0001,256,11988,10849,1139,1,part1_neumann,256
bunny,original,9,2,0.15,0.3,-0.0983680263,-0.0331287496,-0.00647430168,0.29159207856030034,0.006060120462672636,1.3910869439292433e-05,1.7213656761164648,0.8347042467366647,0.053212356951969096,33,neumann,12601,-0.15230462,-0.137971073,0.0143335462,0.0139465788,0.0497938097,256,54.203125,0,0.0001,256,13876,12600,1276,1,part1_neumann,256
bunny,original,10,2,0.15,0.3,0.00673722336,0.176301077,-0.0743633881,0.19169786238164108,0.003369985352212838,4.869519997086584e-06,1.1316574274798115,0.9871604831370464,0.09187302937814923,34,neumann,12601,0.0957279727,0.108674906,0.0129469335,0.0103024989,0.027172219,256,45.8828125,0,0.0001,256,11746,10658,1088,1,part1_neumann,256
bunny,original,11,2,0.15,0.3,-0.0503399298,0.211527303,-0.0383891836,0.15662066424216559,0.0054835813867459594,1.1221126933775824e-05,1.690814898725079,0.8257892041345953,0.0061130250487282005,35,neumann,12601,0.134497225,0.122798197,0.0116990283,0.0038093552,0.00371486414,256,30.8359375,0,0.0001,256,7894,7089,805,1,part1_neumann,256
bunny,original,12,2,0.15,0.3,0.0148268193,0.0847808868,-0.0934574604,0.23566041442478086,0.005642734104578416,1.2224510381617403e-05,1.6154742216708116,0.8553930512605528,0.01544948369054929,36,neumann,12601,-0.00856108405,0.00615024567,0.0147113297,0.0140852649,0.0507890396,256,64.25,0,0.0001,256,16448,15056,1392,1,part1_neumann,256
