mesh,mesh_variant,distance_bin,epsilon,walks,n,rmse,mean_abs_error,mean_sample_variance,mean_steps,mean_bias,mean_bias_steps
bunny,original,1,0.01,64,21,0.7770048253576326,0.6524034455,0.7316565531904763,7.5163690476190474,0.3142243427904762,7.899553571428571
bunny,original,2,0.01,64,22,0.32472807972497403,0.27687173542818183,0.43111327963636353,8.003551136363637,0.13285867566272727,8.479403409090908
bunny,original,3,0.01,64,23,0.12520308857927737,0.09769875651334785,0.1876603986630435,7.948369565217392,0.06204674569282608,8.002038043478262
bunny,original,4,0.01,64,24,0.043330666514427414,0.03386795861525,0.07707364539208333,6.764322916666667,0.03588486453708333,6.846354166666667
bunny,original,1,0.01,256,21,0.7675299128189969,0.6504333908380951,0.7210567920000001,7.805617557142858,0.31067044757142853,8.028459821428571
bunny,original,2,0.01,256,22,0.34624301127211965,0.28012107102363637,0.4845255058181817,8.279296872727274,0.12644168668636366,8.297407672727273
bunny,original,3,0.01,256,23,0.11365289206520017,0.08909386690921739,0.19864688559130436,8.057574726086957,0.04609844346086956,7.969089673913044
bunny,original,4,0.01,256,24,0.03719512555481204,0.02747882197833333,0.07301423078583334,6.688639322916667,0.015776039949125003,6.779134114583333
bunny,original,1,0.01,1024,21,0.7727690176156499,0.6559048154857143,0.7222450363333331,7.867559523809524,0.30539619241857147,7.825102307142858
bunny,original,2,0.01,1024,22,0.3364645929887684,0.27684138411,0.48141043027272745,8.289417616363636,0.12881973347727274,8.359330613636363
bunny,original,3,0.01,1024,23,0.12442119603988691,0.09623947320630434,0.19191443257391305,8.033160665217391,0.04086984803565218,8.081309444347825
bunny,original,4,0.01,1024,24,0.0351801740633811,0.026800056142083334,0.07581346032166666,6.858398437916667,0.011744833748333334,6.827433268333333
bunny,original,1,0.001,64,21,0.11454921050965604,0.09408393582761904,0.04865140653333334,26.90029761904762,0.033416784057428574,27.20610119047619
bunny,original,2,0.001,64,22,0.052660082703024844,0.040497689591136365,0.04312482949268182,21.860085227272727,0.0291475698585,21.675426136363637
bunny,original,3,0.001,64,23,0.02988493629213601,0.025258111327086958,0.03164278814130435,17.617527173913043,0.03489033974304347,17.570652173913043
bunny,original,4,0.001,64,24,0.019208970288041853,0.015416108922041665,0.02138034219419167,15.266276041666666,0.02378309907208333,15.123697916666666
bunny,original,1,0.001,256,21,0.1200173226659646,0.10208248989190476,0.053558033314285707,27.000186023809523,0.04398793088523809,27.10323660952381
bunny,original,2,0.001,256,22,0.050751647832720764,0.04179276440631819,0.043185331221590906,22.065518470454546,0.016313025731227275,21.93146305909091
bunny,original,3,0.001,256,23,0.02168001336774197,0.01752759241056522,0.03303440501173913,18.084408965217392,0.010770910939400436,17.899966030434783
bunny,original,4,0.001,256,24,0.011539961142543116,0.0088663886575,0.02116990524375,14.657389327083331,0.010418870369208334,14.78320313125
bunny,original,1,0.001,1024,21,0.11677490957600108,0.09818507202380952,0.052205229266666674,27.17029389047619,0.03610514690142857,27.304734
bunny,original,2,0.001,1024,22,0.0499981872714572,0.041310369615,0.04365586258740909,22.087890622272724,0.014985302003036362,22.093528038636364
bunny,original,3,0.001,1024,23,0.021513959389440996,0.01810841449447826,0.031777352854782615,17.747367517391307,0.008055294492304348,18.017323373913044
bunny,original,4,0.001,1024,24,0.00714178941950251,0.005670689279999999,0.021639993141083336,14.909261061666667,0.0050884259589583335,14.910359702083333
bunny,original,1,0.0001,64,21,0.050868578329895,0.04423731725619048,0.04365289796666667,98.16741071428571,0.030998767737142857,101.37202380952381
bunny,original,2,0.0001,64,22,0.027425366856571688,0.02095011790545455,0.03668075790577272,63.3515625,0.025683492149045452,62.90909090909091
bunny,original,3,0.0001,64,23,0.02169748059338548,0.01728442278230435,0.031283801781739125,36.22826086956522,0.021307130225043474,41.01902173913044
bunny,original,4,0.0001,64,24,0.01764875736911804,0.013396883498375001,0.019765498777333333,27.343098958333332,0.016548326777375,28.375
bunny,original,1,0.0001,256,21,0.04261764089382246,0.03572273769142858,0.04352586830333333,99.08835558571428,0.015594971942,100.02734367142855
bunny,original,2,0.0001,256,22,0.018649004321035938,0.015222994100454544,0.036284051237681816,61.226562504545456,0.014690138142636365,61.549538350000006
bunny,original,3,0.0001,256,23,0.0146919742560122,0.011952440681691306,0.03158220582521739,37.956182060869565,0.012906560937391304,37.9507472826087
bunny,original,4,0.0001,256,24,0.008384915229549149,0.0060013723524166675,0.01986716109995833,26.626464845833336,0.006874454983625,26.348144516666668
bunny,original,1,0.0001,1024,21,0.042167624979512215,0.034427732929999996,0.043472278999999996,99.24423369999998,0.007411246147809525,101.07352114761905
bunny,original,2,0.0001,1024,22,0.016693330775084073,0.012960917063999999,0.03814530462727272,61.66725851818182,0.005532589192227272,61.79274680454546
bunny,original,3,0.0001,1024,23,0.006603424468810828,0.005513704366217391,0.03141939266217392,38.352072004347825,0.006998802555217392,38.19089673913044
bunny,original,4,0.0001,1024,24,0.0045223278792355355,0.0032323232540041667,0.020863666400416665,26.444986979166668,0.004425073120750001,26.620605470833336
bunny,original,1,1e-05,64,21,0.05286544270882771,0.04018610281347619,0.04168120784285715,195.32440476190476,0.032697239620000006,187.04761904761904
bunny,original,2,1e-05,64,22,0.03286229877220996,0.026549435983872726,0.03743583332136363,104.1640625,0.018339917147772725,107.1143465909091
bunny,original,3,1e-05,64,23,0.02392583533691573,0.02014950468082609,0.031427087280434786,57.99728260869565,0.03515959173608696,64.9375
bunny,original,4,1e-05,64,24,0.024055977951938368,0.016866932627508335,0.020178953397000002,39.947265625,0.018495859187499998,39.126953125
bunny,original,1,1e-05,256,21,0.04365577771583024,0.0351687247452381,0.04509233212857143,188.1447172761905,0.013284544062857142,193.98251485714286
bunny,original,2,1e-05,256,22,0.017736398403202437,0.013603628150513636,0.037644724991318185,102.92276280909091,0.01220115900890909,107.89169030909089
bunny,original,3,1e-05,256,23,0.010767445460223525,0.008386673222130435,0.029977885609565217,54.023437513043476,0.010693510145130435,60.1389266347826
bunny,original,4,1e-05,256,24,0.010035510186583899,0.007266297389941667,0.020311176226833334,37.579101566666665,0.008884480804675,37.228352870833334
