mesh,boundary,seed,point_index,x,y,z,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,0,-0.067084685,0.117976248,0.0773394257,0.128230989,9.99999975e-06,4.99999987e-06,0.188407347,0.127186537,0.0612208098,1.32115555,0.0601763576,0.00104445219,0.0209709778,0.0253668558,0.0281460434,0.0411825515,204.625,233.828125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,1,-0.0922575668,0.159452081,0.0443730466,0.111567557,9.99999975e-06,4.99999987e-06,0.151147842,0.109871976,0.0412758663,0.997425497,0.0395802855,0.00169558078,0.0211567245,0.020224683,0.0286468472,0.0261784177,199.5625,247.234375,64,64,0,1,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,2,-0.0933401659,0.150574431,0.0668218732,0.124056138,9.99999975e-06,4.99999987e-06,0.132195041,0.126011789,0.00618325174,0.130262136,0.00813890249,0.00195565075,0.0232185349,0.0242482238,0.0345024243,0.0376304872,126.234375,231.5625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,3,-0.0185285453,0.106607415,-0.0449450836,0.0431337878,9.99999975e-06,4.99999987e-06,-0.0252476484,0.067884855,0.0931325033,1.57525861,0.0683814362,0.0247510672,0.0320401937,0.0270808507,0.0657007396,0.0469358377,239.1875,304.34375,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,4,-0.0976603329,0.0314677618,0.0159318298,-0.0502607375,9.99999975e-06,4.99999987e-06,-0.109683417,-0.0522453673,0.0574380495,1.08691466,0.0594226792,0.00198462978,0.02807777,0.0247662682,0.0504551157,0.039255552,179.25,127.375,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,5,0.0403933711,0.104567476,0.0474552549,0.192416102,9.99999975e-06,4.99999987e-06,0.244393915,0.260403216,0.0160093009,0.296298325,0.0519778132,0.0679871142,0.0299303383,0.0240996815,0.05733281,0.0371708572,239.9375,251.921875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,6,0.0592114404,0.0807502791,-0.0263680369,0.113593683,9.99999975e-06,4.99999987e-06,0.103263892,0.116745703,0.0134818107,0.218250245,0.0103297904,0.00315202028,0.0293154027,0.0324558541,0.0550011434,0.0674164742,187.28125,214.546875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,7,0.00316647743,0.113946065,0.0566410087,0.173753545,9.99999975e-06,4.99999987e-06,0.27164495,0.257374018,0.0142709315,0.269794762,0.0978914052,0.0836204737,0.0259958897,0.0268986244,0.0432503223,0.0463063009,247.28125,295.453125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,8,-0.0144315343,0.104213901,0.000829365861,0.0906117335,9.99999975e-06,4.99999987e-06,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,9,0.0340803266,0.0906737596,0.0716325417,0.196386635,9.99999975e-06,4.99999987e-06,,,,,,,,,,,,,,,,,0
