mesh,boundary,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,diverged,epsilon,walks_per_point,star_queries,fast_only_star_queries,exact_star_queries,is_valid
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,0,-0.067084685,0.117976248,0.0773394257,0.166964054,0.128230989,0.0387330651,0.00677317893,0.0469769761,1024,99.5224609,0,9.99999975e-05,1024,101911,92401,9510,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,1,-0.0922575668,0.159452081,0.0443730466,0.133445203,0.111567557,0.0218776464,0.00541942008,0.030074995,1024,80.3994141,0,9.99999975e-05,1024,82329,74935,7394,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,2,-0.0933401659,0.150574431,0.0668218732,0.137883931,0.124056138,0.0138277933,0.00580323115,0.0344857499,1024,77.3427734,0,9.99999975e-05,1024,79199,72135,7064,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,3,-0.0185285453,0.106607415,-0.0449450836,0.0223597344,0.0431337878,0.0207740534,0.00720529072,0.0531622022,1024,126.569336,0,9.99999975e-05,1024,129607,117630,11977,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,4,-0.0976603329,0.0314677618,0.0159318298,-0.0896901712,-0.0502607375,0.0394294336,0.00709433341,0.0515374728,1024,102.388672,0,9.99999975e-05,1024,104846,95213,9633,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,5,0.0403933711,0.104567476,0.0474552549,0.262711763,0.192416102,0.0702956617,0.00663584517,0.0450912677,1024,113.15918,0,9.99999975e-05,1024,115875,104917,10958,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,6,0.0592114404,0.0807502791,-0.0263680369,0.119306639,0.113593683,0.00571295619,0.00746267335,0.0570280887,1024,101.326172,0,9.99999975e-05,1024,103758,94404,9354,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,7,0.00316647743,0.113946065,0.0566410087,0.267685324,0.173753545,0.0939317793,0.00614137948,0.0386217423,1024,115.933594,0,9.99999975e-05,1024,118716,107620,11096,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,8,-0.0144315343,0.104213901,0.000829365861,,,,,,,,,9.99999975e-05,1024,,,0
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,9,0.0340803266,0.0906737596,0.0716325417,,,,,,,,,9.99999975e-05,1024,,,0
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,10,-0.0811202973,0.0964908004,-0.0482416078,-0.0724954531,-0.0328711048,0.0396243483,0.00675650919,0.0467460267,1024,100.219727,0,9.99999975e-05,1024,102625,93252,9373,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,11,-0.0107402578,0.180729836,-0.0448372886,0.117404811,0.12515229,0.00774747878,0.00507471571,0.0263708048,1024,70.6923828,0,9.99999975e-05,1024,72389,66128,6261,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,12,-0.0611755028,0.199949145,-0.0343294628,0.106024347,0.104444191,0.00158015639,0.00361546036,0.0133852707,1024,51.1279297,0,9.99999975e-05,1024,52355,47369,4986,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,13,-0.0350626484,0.210224673,0.00687460089,,,,,,,,,9.99999975e-05,1024,,,0
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,14,0.0210043043,0.0194579698,0.0588089526,0.108439788,0.0992712229,0.00916856527,0.00816275366,0.0682296753,1024,104.665039,0,9.99999975e-05,1024,107177,97463,9714,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,15,-0.0103540719,0.158047348,0.0397412069,0.241439775,0.18743448,0.054005295,0.00524610328,0.0281821191,1024,100.21875,0,9.99999975e-05,1024,102624,92761,9863,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,13369,16,-0.039521385,0.102026179,0.0672486871,0.190623865,0.129753485,0.0608703792,0.00698090438,0.0499026217,1024,117.587891,0,9.99999975e-05,1024,120410,109117,11293,1
