mesh,boundary,seed,point_index,x,y,z,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,0,0.175492898,0.508770585,0.363037527,1.04730105,9.99999975e-06,4.99999987e-06,1.47462857,1.5106374,0.0360088348,0.569351912,0.427327514,0.463336349,0.032029815,0.0312144887,1.05053079,0.997728586,311.277344,321.773438,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,1,-0.58936739,1.04223657,-0.397771597,0.05509758,9.99999975e-06,4.99999987e-06,0.0379498415,0.0403626338,0.0024127923,0.0938059911,0.0171477385,0.0147349462,0.0122823836,0.013437707,0.154477522,0.184905708,52.6025391,66.8916016,1024,1024,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,2,-0.509847581,-0.204413399,0.943444848,0.229183853,9.99999975e-06,4.99999987e-06,0.152075917,0.138322458,0.0137534589,0.323142231,0.0771079361,0.090861395,0.0207149237,0.0218457039,0.439406633,0.488688439,157.581055,178.483398,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,3,0.291887581,0.18905288,0.999933839,1.4808743,9.99999975e-06,4.99999987e-06,1.63474441,1.62677979,0.00796461105,0.286064714,0.153870106,0.145905495,0.0136380726,0.014202917,0.19046095,0.206564188,127.680664,149.860352,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,4,0.699681878,-0.629527569,-0.101833299,-0.0316789895,9.99999975e-06,4.99999987e-06,0.0520972349,-0.0411598459,0.0932570845,1.54796922,0.0837762207,0.00948085636,0.0295511745,0.0306926183,0.894230485,0.964645684,150.852539,149.885742,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,5,0.470923036,0.758192837,-0.622084081,0.607031763,9.99999975e-06,4.99999987e-06,0.664664924,0.616702437,0.0479624867,0.924583197,0.0576331615,0.0096706748,0.0260079987,0.0258657169,0.692649961,0.685092092,159.598633,155.995117,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,6,-0.414600581,-0.697184265,-0.281832814,-1.39361763,9.99999975e-06,4.99999987e-06,-1.65924251,-1.6342864,0.0249561071,0.529720604,0.265624881,0.240668774,0.0230942052,0.0240166299,0.546142459,0.590641677,194.875,180.110352,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,7,-0.162503451,0.0351070613,0.324985236,0.197588846,9.99999975e-06,4.99999987e-06,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,8,0.645824194,-0.539584637,-0.119691521,-0.0134519637,9.99999975e-06,4.99999987e-06,0.0312253479,0.0327468365,0.00152148865,0.0223147403,0.0446773097,0.0461988002,0.0347675942,0.0334145278,1.23779655,1.14332747,192.511719,208.103516,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,9,0.491171867,-0.434042037,0.53090626,0.58803606,9.99999975e-06,4.99999987e-06,0.71516335,0.78155905,0.0663957,0.971617341,0.12712729,0.19352299,0.0338602774,0.0344739556,1.17403483,1.21697664,319.779297,354.526367,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,10,-0.207137704,0.350952983,-0.801123381,-0.657308102,9.99999975e-06,4.99999987e-06,-0.890482068,-0.872101068,0.0183809996,0.348616093,0.233173966,0.214792967,0.0259347875,0.0267898329,0.68875587,0.734919786,214.569336,239.378906,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,11,0.0418608338,0.0996609107,0.0811071023,0.222628862,9.99999975e-06,4.99999987e-06,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,12,-0.40293169,0.699116826,0.181875929,0.47806108,9.99999975e-06,4.99999987e-06,0.485078603,0.543395519,0.0583169162,0.862914085,0.00701752305,0.0653344393,0.0340026394,0.0335777327,1.18392789,1.15452325,213.614258,229.712891,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,13,0.689719439,0.631762326,-0.439312696,0.882169008,9.99999975e-06,4.99999987e-06,0.971539557,0.958402276,0.0131372809,0.243365124,0.0893705487,0.0762332678,0.0277151875,0.0262655877,0.786566794,0.706438243,158.424805,161.999023,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,14,-0.407758594,0.0876876563,-0.716126919,-1.0361979,9.99999975e-06,4.99999987e-06,-1.2976141,-1.28664899,0.0109651089,0.212832019,0.261416197,0.250451088,0.025584925,0.0259340927,0.670298517,0.688719034,174.510742,203.729492,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,15,-0.0897094011,1.04607987,-0.0655632839,0.890807211,9.99999975e-06,4.99999987e-06,0.946831048,0.963562667,0.0167316198,0.610694349,0.0560238361,0.072755456,0.0137992324,0.0135974661,0.194988862,0.189328477,92.0585938,105.210938,1024,1024,1,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,16,0.413705796,0.254681438,-0.78131032,-0.112923086,9.99999975e-06,4.99999987e-06,-0.191008806,-0.124580309,0.0664284974,1.10835934,0.0780857205,0.0116572231,0.0302320179,0.0297010653,0.935910344,0.903324902,171.060547,187.053711,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,17,-0.594999969,0.968380809,-0.512617588,-0.139236748,9.99999975e-06,4.99999987e-06,-0.161334395,-0.180205837,0.0188714415,0.53668803,0.0220976472,0.0409690887,0.0176019929,0.0175597873,0.317266107,0.315746456,74.9521484,80.6757812,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,18,-0.497109383,-0.896579683,-0.0959504545,-1.48963952,9.99999975e-06,4.99999987e-06,-1.64280033,-1.56417179,0.07862854,2.05121684,0.15316081,0.0745322704,0.0177569687,0.0205746666,0.322877407,0.433476508,122.070312,141.393555,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,19,-0.753643274,-0.246430308,0.0830651522,-0.9170084,9.99999975e-06,4.99999987e-06,-1.11119306,-1.12557042,0.0143773556,0.247093379,0.194184661,0.208562016,0.0297344606,0.0284504611,0.90535748,0.828855038,198.720703,195.177734,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,20,-0.623939931,0.601983845,-0.225569442,-0.247525528,9.99999975e-06,4.99999987e-06,-0.364180416,-0.369779587,0.00559917092,0.0860911831,0.116654888,0.122254059,0.0327306092,0.0323060751,1.0970037,1.06873083,206.394531,214.206055,1024,1024,1,1,1
