mesh,boundary,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,diverged,epsilon,walks_per_point,star_queries,fast_only_star_queries,exact_star_queries,is_valid
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,0,0.175492898,0.508770585,0.363037527,1.47236502,1.04730105,0.425063968,0.0670531169,1.1510067,256,290.78125,1,9.99999975e-06,256,74440,69733,4707,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,1,-0.58936739,1.04223657,-0.397771597,-0.0056138644,0.05509758,0.0607114434,0.0263710618,0.178030819,256,51.4296875,0,9.99999975e-06,256,13166,12331,835,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,2,-0.509847581,-0.204413399,0.943444848,0.210998163,0.229183853,0.01818569,0.0404569954,0.419012755,256,206.453125,1,9.99999975e-06,256,52852,49148,3704,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,3,0.291887581,0.18905288,0.999933839,1.6501193,1.4808743,0.169245005,0.0228710361,0.133909568,256,153.070312,1,9.99999975e-06,256,39186,36482,2704,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,4,0.699681878,-0.629527569,-0.101833299,-0.0146371108,-0.0316789895,0.0170418788,0.0661040843,1.11865604,256,160.785156,1,9.99999975e-06,256,41161,38468,2693,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,5,0.470923036,0.758192837,-0.622084081,0.698133111,0.607031763,0.0911013484,0.0488310046,0.610423565,256,136.945312,0,9.99999975e-06,256,35058,32804,2254,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,6,-0.414600581,-0.697184265,-0.281832814,-1.66409981,-1.39361763,0.270482183,0.0412277989,0.435131252,256,180.578125,0,9.99999975e-06,256,46228,43386,2842,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,7,-0.162503451,0.0351070613,0.324985236,,,,,,,,,9.99999975e-06,256,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,8,0.645824194,-0.539584637,-0.119691521,0.141670927,-0.0134519637,0.155122891,0.0661382377,1.11981225,256,203.789062,1,9.99999975e-06,256,52170,48914,3256,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,9,0.491171867,-0.434042037,0.53090626,0.836651087,0.58803606,0.248615026,0.0643011704,1.0584681,256,316.035156,0,9.99999975e-06,256,80905,75645,5260,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,10,-0.207137704,0.350952983,-0.801123381,-0.961963117,-0.657308102,0.304655015,0.0406517871,0.423057377,256,174.566406,0,9.99999975e-06,256,44689,41928,2761,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,11,0.0418608338,0.0996609107,0.0811071023,,,,,,,,,9.99999975e-06,256,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,12,-0.40293169,0.699116826,0.181875929,0.491341412,0.47806108,0.0132803321,0.0672538206,1.15790749,256,201.507812,1,9.99999975e-06,256,51586,48292,3294,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,13,0.689719439,0.631762326,-0.439312696,0.921260595,0.882169008,0.0390915871,0.0513949245,0.676208198,256,155.085938,1,9.99999975e-06,256,39702,37148,2554,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,14,-0.407758594,0.0876876563,-0.716126919,-1.30705607,-1.0361979,0.270858169,0.0552312098,0.780924618,256,224.160156,0,9.99999975e-06,256,57385,53791,3594,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,15,-0.0897094011,1.04607987,-0.0655632839,0.946263611,0.890807211,0.0554563999,0.0220820718,0.124830171,256,72.8007812,0,9.99999975e-06,256,18637,17407,1230,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,16,0.413705796,0.254681438,-0.78131032,-0.0942719355,-0.112923086,0.0186511502,0.0616265051,0.972243488,256,156.398438,0,9.99999975e-06,256,40038,37566,2472,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,17,-0.594999969,0.968380809,-0.512617588,-0.185940832,-0.139236748,0.0467040837,0.0374009162,0.358100116,256,92.6054688,0,9.99999975e-06,256,23707,22162,1545,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,18,-0.497109383,-0.896579683,-0.0959504545,-1.62352753,-1.48963952,0.133888006,0.0358144343,0.328364432,256,149.863281,1,9.99999975e-06,256,38365,35908,2457,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,19,-0.753643274,-0.246430308,0.0830651522,-1.15520835,-0.9170084,0.238199949,0.0553432032,0.78409481,256,243.253906,1,9.99999975e-06,256,62273,58255,4018,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,20,-0.623939931,0.601983845,-0.225569442,-0.416353583,-0.247525528,0.168828055,0.0642415881,1.05650723,256,223.347656,1,9.99999975e-06,256,57177,53601,3576,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,21,-0.320148736,0.0194316097,-0.920338511,-1.35229576,-1.22105563,0.131240129,0.0371983796,0.354232162,256,111.59375,0,9.99999975e-06,256,28568,26903,1665,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,22,-0.577782154,-0.295465291,0.937366426,-0.00864243414,0.0641189814,0.0727614164,0.0405754,0.421468914,256,128.972656,1,9.99999975e-06,256,33017,30815,2202,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,23,0.325978607,1.08102155,-0.305079907,1.10991263,1.10192025,0.00799238682,0.0143446624,0.0526769497,256,59.9179688,1,9.99999975e-06,256,15339,14253,1086,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,24,-0.0302099232,-0.325094938,-0.904855967,-1.26162791,-1.2601608,0.00146710873,0.0475129485,0.577914953,256,99,0,9.99999975e-06,256,25344,23763,1581,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,25,-1.00044477,0.364955246,0.260165095,-0.428780884,-0.375324428,0.0534564555,0.044848185,0.514908075,256,88.4101562,0,9.99999975e-06,256,22633,21240,1393,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,26,0.484477401,1.01049316,-0.838338733,0.699206591,0.656631827,0.0425747633,0.0227752663,0.132790461,256,53.5859375,0,9.99999975e-06,256,13718,12814,904,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,27,-0.978971124,-0.685116172,0.384194404,-1.34035373,-1.27989292,0.0604608059,0.0308810361,0.244131416,256,71.2539062,0,9.99999975e-06,256,18241,17132,1109,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,28,-0.544516921,-0.928870201,0.317518353,-1.19933605,-1.15586877,0.0434672832,0.0373513326,0.35715124,256,91.3828125,1,9.99999975e-06,256,23394,21924,1470,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,29,0.721896112,-0.850659311,0.880052567,0.816057146,0.751289368,0.0647677779,0.0325944014,0.271973103,256,57.359375,0,9.99999975e-06,256,14684,13750,934,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,30,0.533486307,0.345811605,1.09812272,1.97954404,1.97742057,0.00212347507,0.00116321119,0.0003463834,256,20.8984375,0,9.99999975e-06,256,5350,4834,516,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,31,0.830785871,0.0129929949,-0.975809216,-0.157208323,-0.132030368,0.0251779556,0.0298610497,0.228270665,256,43.8671875,0,9.99999975e-06,256,11230,10541,689,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,32,0.813043475,-0.690540493,0.92247957,1.01519847,1.04498255,0.0297840834,0.0340296179,0.296451807,256,56.2382812,0,9.99999975e-06,256,14397,13502,895,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,33,-1.06913912,0.240271136,-0.146089584,-1.01040256,-0.974957585,0.0354449749,0.0199848507,0.102244928,256,54.6445312,0,9.99999975e-06,256,13989,13014,975,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,34,-0.546839952,-0.836943567,-0.792940497,-2.22806883,-2.17672396,0.0513448715,0.0359235667,0.330368698,256,60.4960938,0,9.99999975e-06,256,15487,14577,910,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,35,0.919254601,0.338374823,0.920297027,2.19394064,2.17792654,0.0160140991,0.0256090611,0.167890951,256,49.859375,0,9.99999975e-06,256,12764,11918,846,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,36,-0.950967193,0.578466833,-0.569361806,-1.00883114,-0.941862166,0.0669689775,0.0324228965,0.269118518,256,76.2070312,0,9.99999975e-06,256,19509,18269,1240,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,37,-0.856356621,0.857685804,0.410542637,0.40154779,0.411871821,0.0103240311,0.042960301,0.472470433,256,71.6054688,0,9.99999975e-06,256,18331,17194,1137,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,38,0.399649769,0.911472201,0.487680316,1.8747524,1.79880226,0.0759501457,0.0330274291,0.279247612,256,79.3515625,0,9.99999975e-06,256,20314,19052,1262,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,39,0.8862831,0.484921604,-0.965707958,0.410075933,0.405496776,0.00457915664,0.0262818839,0.176828772,256,41.5664062,0,9.99999975e-06,256,10641,9976,665,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,40,-0.833433211,0.0322562493,-0.57291925,-1.49698222,-1.37409616,0.122886062,0.0426134989,0.464872986,256,92.6640625,0,9.99999975e-06,256,23722,22300,1422,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,41,-1.08221769,-0.503601611,-0.302469164,-1.91141975,-1.88828838,0.0231313705,0.00795878842,0.0162156336,256,31.90625,0,9.99999975e-06,256,8168,7607,561,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,42,-0.747502446,-0.695805311,-0.294549644,-1.89871514,-1.73785734,0.160857797,0.036655724,0.343972385,256,95.1992188,0,9.99999975e-06,256,24371,22817,1554,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,43,0.936558425,0.270633698,-0.332234889,0.920223951,0.874957323,0.0452666283,0.0468321443,0.561471879,256,94.375,1,9.99999975e-06,256,24160,22741,1419,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,44,-0.468204111,-1.03770196,0.509870887,-1.01491082,-0.996035218,0.0188755989,0.0251933448,0.162484393,256,66.0390625,0,9.99999975e-06,256,16906,15770,1136,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,45,0.0708140805,-0.977128625,-0.698683321,-1.61063635,-1.60499787,0.00563848019,0.0339473337,0.295019865,256,49.3046875,0,9.99999975e-06,256,12622,11854,768,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,46,-1.08003056,0.0887897685,0.63502568,-0.374735445,-0.356215119,0.0185203254,0.0117603531,0.0354063101,256,41.3085938,0,9.99999975e-06,256,10575,9880,695,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,47,-0.443023086,1.00982964,-1.02821565,-0.415960371,-0.461409092,0.0454487205,0.0201222319,0.103655472,256,44.7226562,0,9.99999975e-06,256,11449,10723,726,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,48,-1.02739704,-0.0794651881,-0.8468799,-1.96849597,-1.95374203,0.0147539377,0.0178843495,0.0818815976,256,38.8789062,0,9.99999975e-06,256,9953,9415,538,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,49,-1.06565416,0.541796327,0.578846574,0.0565977357,0.0549887419,0.00160899386,0.0191489235,0.0938704088,256,34.7109375,0,9.99999975e-06,256,8886,8319,567,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,50,-1.05694842,0.730526865,0.389614463,0.0608888604,0.063192904,0.00230404362,0.0164607018,0.0693644062,256,33.9726562,0,9.99999975e-06,256,8697,8144,553,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,51,0.337375641,-0.961575806,-0.931716263,-1.60013223,-1.55591643,0.0442157984,0.0192205291,0.094573766,256,37,0,9.99999975e-06,256,9472,8914,558,1
