mesh,target,term,standardized_beta,coefficient,r2,n
bunny,abs_error,intercept,,0.01671136037629889,0.3328257507783836,90
bunny,abs_error,nearest_distance_proxy_norm,-0.009587247986779715,-0.036309274252047684,0.3328257507783836,90
bunny,abs_error,local_normal_variation,-0.0028927970015721447,-0.0326371617434053,0.3328257507783836,90
bunny,abs_error,local_edge_mean_norm,0.000998053821418857,1.281838274299888,0.3328257507783836,90
bunny,abs_error,local_aspect_ratio,0.0018536129206527063,0.006789239500794344,0.3328257507783836,90
spot,abs_error,intercept,,0.06283682167693716,0.32354059201759533,70
spot,abs_error,nearest_distance_proxy_norm,-0.04613006907075973,-0.4158790014975137,0.32354059201759533,70
spot,abs_error,local_normal_variation,-0.005957216515216224,-0.14937871367188463,0.32354059201759533,70
spot,abs_error,local_edge_mean_norm,0.00763372880438443,1.3712913937037734,0.32354059201759533,70
spot,abs_error,local_aspect_ratio,-0.0014379264886812313,-0.006557387547549873,0.32354059201759533,70
