mesh,boundary,seed,point_index,x,y,z,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19601,0,-0.067084685,0.117976248,0.0773394257,0.128230989,9.99999975e-05,4.99999987e-05,0.169316426,0.153949559,0.0153668672,0.580287933,0.0410854369,0.0257185698,0.0132702021,0.013210251,0.0450811572,0.0446747467,106.976562,145.617188,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19601,1,-0.0922575668,0.159452081,0.0443730466,0.111567557,9.99999975e-05,4.99999987e-05,0.092121996,0.133396924,0.0412749276,1.7252363,0.0194455609,0.0218293667,0.012400548,0.0115226684,0.0393660367,0.0339896046,85.8945312,127.058594,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19601,2,-0.0933401659,0.150574431,0.0668218732,0.124056138,9.99999975e-05,4.99999987e-05,0.160547704,0.154772401,0.00577530265,0.256387532,0.0364915654,0.0307162628,0.0108590312,0.0116656469,0.0301871486,0.0348383524,84.2226562,111.992188,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19601,3,-0.0185285453,0.106607415,-0.0449450836,0.0431337878,9.99999975e-05,4.99999987e-05,0.036579866,0.0152544361,0.0213254299,0.734690964,0.00655392185,0.0278793518,0.014842825,0.0141825704,0.0563992225,0.0514932014,125.195312,175.957031,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19601,4,-0.0976603329,0.0314677618,0.0159318298,-0.0502607375,9.99999975e-05,4.99999987e-05,-0.0686017126,-0.100762807,0.0321610942,1.11876261,0.018340975,0.0505020693,0.0144075723,0.0143384514,0.053140007,0.0526313409,93.8359375,125.890625,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19601,5,0.0403933711,0.104567476,0.0474552549,0.192416102,9.99999975e-05,4.99999987e-05,0.260522306,0.242927492,0.0175948143,0.668650448,0.0681062043,0.05051139,0.0135592241,0.0127536952,0.0470662527,0.0416401289,122.394531,158.480469,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19601,6,0.0592114404,0.0807502791,-0.0263680369,0.113593683,9.99999975e-05,4.99999987e-05,0.124268517,0.116469808,0.00779870898,0.259250522,0.0106748343,0.00287612528,0.015108251,0.0149724977,0.0584343709,0.0573889799,98.8710938,137.128906,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19601,7,0.00316647743,0.113946065,0.0566410087,0.173753545,9.99999975e-05,4.99999987e-05,0.255999982,0.230201334,0.0257986486,0.954239428,0.0822464377,0.0564477891,0.0132795302,0.0137552917,0.0451445542,0.0484372601,115.644531,187.433594,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19601,8,-0.0144315343,0.104213901,0.000829365861,0.0906117335,9.99999975e-05,4.99999987e-05,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19601,9,0.0340803266,0.0906737596,0.0716325417,0.196386635,9.99999975e-05,4.99999987e-05,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19601,10,-0.0811202973,0.0964908004,-0.0482416078,-0.0328711048,9.99999975e-05,4.99999987e-05,-0.100274973,-0.0786037222,0.0216712505,0.823311329,0.0674038678,0.0457326174,0.0129698031,0.0133512579,0.043063242,0.0456335619,101.550781,152.03125,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19601,11,-0.0107402578,0.180729836,-0.0448372886,0.12515229,9.99999975e-05,4.99999987e-05,0.125196338,0.127827376,0.00263103843,0.132846802,4.40478325e-05,0.00267508626,0.0105489343,0.00925512332,0.0284876823,0.0219282713,78.4023438,110.882812,256,256,0,0,1
