mesh,boundary,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,diverged,epsilon,walks_per_point,star_queries,fast_only_star_queries,exact_star_queries,is_valid
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,12601,0,-0.067084685,0.117976248,0.0773394257,0.134447813,0.128230989,0.00621682405,0.0135403303,0.0469351783,256,95.3164062,0,9.99999975e-05,256,24401,22204,2197,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,12601,1,-0.0922575668,0.159452081,0.0443730466,0.124169461,0.111567557,0.0126019046,0.0111190919,0.0316503569,256,81.8125,0,9.99999975e-05,256,20944,19008,1936,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,12601,2,-0.0933401659,0.150574431,0.0668218732,0.171838254,0.124056138,0.0477821156,0.0111830216,0.0320153497,256,86.8632812,0,9.99999975e-05,256,22237,20186,2051,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,12601,3,-0.0185285453,0.106607415,-0.0449450836,0.00135225593,0.0431337878,0.0417815335,0.0155981081,0.0622850507,256,131.195312,0,9.99999975e-05,256,33586,30422,3164,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,12601,4,-0.0976603329,0.0314677618,0.0159318298,-0.0837900415,-0.0502607375,0.033529304,0.0144660575,0.0535723045,256,103.0625,0,9.99999975e-05,256,26384,23969,2415,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,12601,5,0.0403933711,0.104567476,0.0474552549,0.25129056,0.192416102,0.0588744581,0.0136856399,0.0479479693,256,121.113281,0,9.99999975e-05,256,31005,28251,2754,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,12601,6,0.0592114404,0.0807502791,-0.0263680369,0.118006378,0.113593683,0.00441269577,0.0155367767,0.0617962033,256,109.304688,0,9.99999975e-05,256,27982,25420,2562,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,12601,7,0.00316647743,0.113946065,0.0566410087,0.261572719,0.173753545,0.0878191739,0.0112419287,0.0323535278,256,116.019531,0,9.99999975e-05,256,29701,26864,2837,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,12601,8,-0.0144315343,0.104213901,0.000829365861,,,,,,,,,9.99999975e-05,256,,,0
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,12601,9,0.0340803266,0.0906737596,0.0716325417,,,,,,,,,9.99999975e-05,256,,,0
