mesh,boundary,seed,point_index,x,y,z,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,0,0.175492898,0.508770585,0.363037527,1.04730105,9.99999975e-05,4.99999987e-05,1.49767458,1.43277597,0.0648986101,0.500429273,0.45037353,0.38547492,0.0624336898,0.0672511905,0.997879267,1.15781701,253.558594,283.90625,256,256,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,1,-0.58936739,1.04223657,-0.397771597,0.05509758,9.99999975e-05,4.99999987e-05,0.055027701,0.0321686566,0.0228590444,0.471038222,6.98789954e-05,0.0229289234,0.0252666511,0.0232614186,0.163431332,0.138519958,49.3125,38.7265625,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,2,-0.509847581,-0.204413399,0.943444848,0.229183853,9.99999975e-05,4.99999987e-05,0.216559649,0.12739636,0.0891632885,1.02236176,0.0126242042,0.101787493,0.0457282029,0.041483853,0.535313547,0.44055295,137.511719,145.886719,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,3,0.291887581,0.18905288,0.999933839,1.4808743,9.99999975e-05,4.99999987e-05,1.59297371,1.60008729,0.00711357594,0.11905738,0.112099409,0.119212985,0.0329560004,0.0267921388,0.278041065,0.183761582,99.296875,123.167969,256,256,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,4,0.699681878,-0.629527569,-0.101833299,-0.0316789895,9.99999975e-05,4.99999987e-05,-0.111150444,-0.0604243167,0.0507261269,0.419865996,0.079471454,0.0287453271,0.0625793859,0.0582346544,1.00254202,0.868166387,111.164062,110.539062,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,5,0.470923036,0.758192837,-0.622084081,0.607031763,9.99999975e-05,4.99999987e-05,0.594816566,0.551748574,0.0430679917,0.388123065,0.0122151971,0.0552831888,0.0550328754,0.0559309088,0.775326014,0.800836265,114.714844,121.886719,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,6,-0.414600581,-0.697184265,-0.281832814,-1.39361763,9.99999975e-05,4.99999987e-05,-1.54043627,-1.56109941,0.0206631422,0.198701844,0.146818638,0.16748178,0.0545730516,0.0494166352,0.762423813,0.625153005,145.773438,149.042969,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,7,-0.162503451,0.0351070613,0.324985236,0.197588846,9.99999975e-05,4.99999987e-05,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,8,0.645824194,-0.539584637,-0.119691521,-0.0134519637,9.99999975e-05,4.99999987e-05,-0.0929623544,0.0453695953,0.13833195,1.04032767,0.0795103908,0.058821559,0.0675306022,0.0654380098,1.16745782,1.0962261,153.082031,142.296875,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,9,0.491171867,-0.434042037,0.53090626,0.58803606,9.99999975e-05,4.99999987e-05,0.873086691,0.744127154,0.128959537,1.00393474,0.285050631,0.156091094,0.0641563088,0.0642967969,1.05370426,1.05832386,241.023438,285.027344,256,256,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,10,-0.207137704,0.350952983,-0.801123381,-0.657308102,9.99999975e-05,4.99999987e-05,-0.791308641,-0.855866194,0.0645575523,0.642725706,0.13400054,0.198558092,0.0521568023,0.0482855923,0.696404994,0.596863627,166.140625,168.128906,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,11,0.0418608338,0.0996609107,0.0811071023,0.222628862,9.99999975e-05,4.99999987e-05,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,12,-0.40293169,0.699116826,0.181875929,0.47806108,9.99999975e-05,4.99999987e-05,0.620247006,0.598750949,0.0214960575,0.160294116,0.142185926,0.120689869,0.0654048398,0.0686980188,1.09511507,1.20817101,180.042969,182.25,256,256,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,13,0.689719439,0.631762326,-0.439312696,0.882169008,9.99999975e-05,4.99999987e-05,0.954877377,1.07163501,0.116757631,1.13448882,0.0727083683,0.189466,0.0545887537,0.0483267531,0.762862623,0.597881675,104.992188,121.289062,256,256,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,14,-0.407758594,0.0876876563,-0.716126919,-1.0361979,9.99999975e-05,4.99999987e-05,-1.24118006,-1.28765965,0.0464795828,0.444924444,0.204982162,0.251461744,0.0565276667,0.047937572,0.818016589,0.588290751,132.765625,173.1875,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,15,-0.0897094011,1.04607987,-0.0655632839,0.890807211,9.99999975e-05,4.99999987e-05,0.904513657,0.932600915,0.0280872583,0.496223062,0.0137064457,0.041793704,0.0307312552,0.0258698277,0.241768986,0.171327472,73.3867188,96.5976562,256,256,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,16,0.413705796,0.254681438,-0.78131032,-0.112923086,9.99999975e-05,4.99999987e-05,-0.159768388,-0.10659162,0.0531767681,0.431531221,0.046845302,0.00633146614,0.0608199202,0.0624071695,0.946959972,0.997031629,142.554688,157.570312,256,256,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,17,-0.594999969,0.968380809,-0.512617588,-0.139236748,9.99999975e-05,4.99999987e-05,-0.162068903,-0.203757092,0.0416881889,0.582397461,0.0228321552,0.0645203441,0.0328639299,0.0387153737,0.276489705,0.383713305,56.2382812,69.890625,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,18,-0.497109383,-0.896579683,-0.0959504545,-1.48963952,9.99999975e-05,4.99999987e-05,-1.66190577,-1.55462277,0.107282996,1.41017056,0.172266245,0.0649832487,0.0323205553,0.0437564775,0.267422289,0.490145147,94.25,119.535156,256,256,1,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,19,-0.753643274,-0.246430308,0.0830651522,-0.9170084,9.99999975e-05,4.99999987e-05,-1.0856725,-1.09414124,0.00846874714,0.0708128139,0.168664098,0.177132845,0.061479032,0.0581133999,0.967595875,0.864554822,159.390625,177.105469,256,256,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,20,-0.623939931,0.601983845,-0.225569442,-0.247525528,9.99999975e-05,4.99999987e-05,-0.365894228,-0.380556673,0.0146624446,0.114508033,0.1183687,0.133031145,0.0608146973,0.0672316104,0.946797371,1.157143,167.15625,195.242188,256,256,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,21,-0.320148736,0.0194316097,-0.920338511,-1.22105563,9.99999975e-05,4.99999987e-05,-1.28098583,-1.3001889,0.0192030668,0.230476379,0.0599302053,0.0791332722,0.041386541,0.0419314839,0.438488513,0.450111806,77.8476562,93.6601562,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,22,-0.577782154,-0.295465291,0.937366426,0.0641189814,9.99999975e-05,4.99999987e-05,0.0380716361,0.000834221952,0.0372374132,0.456606537,0.0260473453,0.0632847622,0.0409322865,0.0406192318,0.428915739,0.42238003,107.242188,119.109375,256,256,1,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,23,0.325978607,1.08102155,-0.305079907,1.10192025,9.99999975e-05,4.99999987e-05,1.12229812,1.10322428,0.019073844,0.765958846,0.0203778744,0.00130403042,0.0143369138,0.0105640022,0.0526200607,0.0285691228,28.4140625,38.3359375,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,24,-0.0302099232,-0.325094938,-0.904855967,-1.2601608,9.99999975e-05,4.99999987e-05,-1.35344839,-1.39625406,0.0428056717,0.495731443,0.0932875872,0.136093259,0.0436764844,0.0426710285,0.488354653,0.466129094,80.34375,91.6328125,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,25,-1.00044477,0.364955246,0.260165095,-0.375324428,9.99999975e-05,4.99999987e-05,-0.410546988,-0.347529054,0.0630179346,0.818820775,0.0352225602,0.0277953744,0.0373440832,0.0396167301,0.3570126,0.401788235,52.3320312,47.34375,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,26,0.484477401,1.01049316,-0.838338733,0.656631827,9.99999975e-05,4.99999987e-05,0.685207844,0.677034378,0.00817346573,0.161701113,0.0285760164,0.0204025507,0.0258249436,0.0247208104,0.170733497,0.156446323,49.5390625,41.4921875,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,27,-0.978971124,-0.685116172,0.384194404,-1.27989292,9.99999975e-05,4.99999987e-05,-1.3067416,-1.3430239,0.0362823009,0.673923492,0.0268486738,0.0631309748,0.0290865656,0.0247498564,0.216583252,0.156814173,56.6835938,46.515625,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,28,-0.544516921,-0.928870201,0.317518353,-1.15586877,9.99999975e-05,4.99999987e-05,-1.21023536,-1.21257496,0.00233960152,0.0318117701,0.0543665886,0.0567061901,0.0360431485,0.0375010148,0.332571805,0.360019505,93.7226562,120.679688,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,29,0.721896112,-0.850659311,0.880052567,0.751289368,9.99999975e-05,4.99999987e-05,0.744650245,0.731351912,0.0132983327,0.208502591,0.00663912296,0.0199374557,0.030326793,0.0334523916,0.235446885,0.28648001,45.5664062,40.5703125,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,30,0.533486307,0.345811605,1.09812272,1.97742057,9.99999975e-05,4.99999987e-05,1.97838426,1.98120666,0.00282239914,1.10272074,0.000963687897,0.00378608704,0.000768636644,0.00178985007,0.000151245404,0.000820112182,13.59375,15.7421875,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,31,0.830785871,0.0129929949,-0.975809216,-0.132030368,9.99999975e-05,4.99999987e-05,-0.126728505,-0.162928149,0.0361996442,0.587843299,0.00530186296,0.0308977813,0.0323531888,0.0292262454,0.267962545,0.218668401,41.8789062,48.6835938,256,256,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,32,0.813043475,-0.690540493,0.92247957,1.04498255,9.99999975e-05,4.99999987e-05,1.09261131,1.08720219,0.00540912151,0.0898646638,0.0476287603,0.0422196388,0.0289955791,0.0311952867,0.215230346,0.249125361,39.4804688,53.2695312,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,33,-1.06913912,0.240271136,-0.146089584,-0.974957585,9.99999975e-05,4.99999987e-05,-0.996101797,-0.989735425,0.00636637211,0.181279391,0.0211442113,0.0147778392,0.0162245892,0.0188935306,0.0673887506,0.0913831741,27.640625,36.234375,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,34,-0.546839952,-0.836943567,-0.792940497,-2.17672396,9.99999975e-05,4.99999987e-05,-2.21185756,-2.19678259,0.0150749683,0.204842284,0.0351336002,0.0200586319,0.0361928567,0.0373991914,0.335340261,0.358067095,47.6523438,46.40625,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,35,0.919254601,0.338374823,0.920297027,2.17792654,9.99999975e-05,4.99999987e-05,2.21546984,2.15110469,0.0643651485,1.14898574,0.0375432968,0.0268218517,0.0227012336,0.0333168693,0.131928578,0.284163564,44.890625,45.109375,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,36,-0.950967193,0.578466833,-0.569361806,-0.941862166,9.99999975e-05,4.99999987e-05,-0.992719173,-0.956715941,0.036003232,0.488476455,0.0508570075,0.0148537755,0.0352514945,0.0384526551,0.318122983,0.37852335,49.1328125,56.2304688,256,256,0,0,1
