mesh,boundary,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,diverged,epsilon,walks_per_point,star_queries,fast_only_star_queries,exact_star_queries,is_valid
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,0,0.175492898,0.508770585,0.363037527,1.52182841,1.04730105,0.474527359,0.0603786372,0.933268428,256,226.398438,0,9.99999975e-05,256,57958,52959,4999,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,1,-0.58936739,1.04223657,-0.397771597,-0.00174168404,0.05509758,0.0568392649,0.0295788124,0.223975971,256,34.4375,0,9.99999975e-05,256,8816,8106,710,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,2,-0.509847581,-0.204413399,0.943444848,0.205087468,0.229183853,0.0240963846,0.0448816642,0.515677154,256,126.074219,0,9.99999975e-05,256,32275,29496,2779,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,3,0.291887581,0.18905288,0.999933839,1.58424413,1.4808743,0.103369832,0.0325399265,0.271064788,256,85.9960938,0,9.99999975e-05,256,22015,20083,1932,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,4,0.699681878,-0.629527569,-0.101833299,-0.00307779037,-0.0316789895,0.0286011994,0.0677229911,1.17411923,256,136.425781,1,9.99999975e-05,256,34925,32059,2866,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,5,0.470923036,0.758192837,-0.622084081,0.72634536,0.607031763,0.119313598,0.0490973778,0.61710149,256,136.472656,0,9.99999975e-05,256,34937,32051,2886,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,6,-0.414600581,-0.697184265,-0.281832814,-1.61324728,-1.39361763,0.219629645,0.050870508,0.662479043,256,139.328125,0,9.99999975e-05,256,35668,32818,2850,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,7,-0.162503451,0.0351070613,0.324985236,,,,,,,,,9.99999975e-05,256,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,8,0.645824194,-0.539584637,-0.119691521,-0.0570795722,-0.0134519637,0.0436276086,0.0658179894,1.10899401,256,156.265625,1,9.99999975e-05,256,40004,36628,3376,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,9,0.491171867,-0.434042037,0.53090626,0.81610477,0.58803606,0.228068709,0.0652155578,1.08878565,256,226.949219,0,9.99999975e-05,256,58099,52980,5119,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,10,-0.207137704,0.350952983,-0.801123381,-0.91866827,-0.657308102,0.261360168,0.0585677847,0.878127456,256,166.183594,0,9.99999975e-05,256,42543,39010,3533,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,11,0.0418608338,0.0996609107,0.0811071023,,,,,,,,,9.99999975e-05,256,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,12,-0.40293169,0.699116826,0.181875929,0.438782275,0.47806108,0.0392788053,0.0684769824,1.20040882,256,145.816406,0,9.99999975e-05,256,37329,34297,3032,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,13,0.689719439,0.631762326,-0.439312696,0.859816432,0.882169008,0.0223525763,0.0603081621,0.93109107,256,139.917969,0,9.99999975e-05,256,35819,32861,2958,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,14,-0.407758594,0.0876876563,-0.716126919,-1.18263662,-1.0361979,0.146438718,0.0572907738,0.840251565,256,142.488281,0,9.99999975e-05,256,36477,33523,2954,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,15,-0.0897094011,1.04607987,-0.0655632839,0.934889019,0.890807211,0.0440818071,0.0271524284,0.188737109,256,75.96875,0,9.99999975e-05,256,19448,17719,1729,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,16,0.413705796,0.254681438,-0.78131032,-0.0795417279,-0.112923086,0.0333813578,0.06457939,1.06764746,256,127.597656,0,9.99999975e-05,256,32665,30033,2632,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,17,-0.594999969,0.968380809,-0.512617588,-0.155711427,-0.139236748,0.0164746791,0.0417796522,0.446858048,256,79.3632812,0,9.99999975e-05,256,20317,18553,1764,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,18,-0.497109383,-0.896579683,-0.0959504545,-1.5518266,-1.48963952,0.0621870756,0.0397131145,0.403745651,256,113.882812,1,9.99999975e-05,256,29154,26760,2394,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,19,-0.753643274,-0.246430308,0.0830651522,-1.08156943,-0.9170084,0.164561033,0.0550475679,0.775740087,256,152.417969,0,9.99999975e-05,256,39019,35734,3285,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,20,-0.623939931,0.601983845,-0.225569442,-0.542270601,-0.247525528,0.294745088,0.0625383705,1.00122809,256,169.53125,1,9.99999975e-05,256,43400,39804,3596,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,21,-0.320148736,0.0194316097,-0.920338511,-1.37028325,-1.22105563,0.149227619,0.0387588441,0.384575486,256,79.140625,0,9.99999975e-05,256,20260,18578,1682,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,22,-0.577782154,-0.295465291,0.937366426,-0.0546774231,0.0641189814,0.118796408,0.0409028195,0.428298414,256,96.7539062,0,9.99999975e-05,256,24769,22648,2121,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,23,0.325978607,1.08102155,-0.305079907,1.09379053,1.10192025,0.00812971592,0.0128016435,0.0419538096,256,33.0820312,0,9.99999975e-05,256,8469,7703,766,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,24,-0.0302099232,-0.325094938,-0.904855967,-1.34164727,-1.2601608,0.0814864635,0.0442207046,0.500600517,256,77.1171875,0,9.99999975e-05,256,19742,18153,1589,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,25,-1.00044477,0.364955246,0.260165095,-0.39814806,-0.375324428,0.0228236318,0.0407947935,0.4260391,256,59.9570312,0,9.99999975e-05,256,15349,14011,1338,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,26,0.484477401,1.01049316,-0.838338733,0.702885151,0.656631827,0.0462533236,0.0231736358,0.137476459,256,44.7265625,0,9.99999975e-05,256,11450,10564,886,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,27,-0.978971124,-0.685116172,0.384194404,-1.37774301,-1.27989292,0.0978500843,0.0174977686,0.0783800185,256,44.4296875,0,9.99999975e-05,256,11374,10404,970,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,28,-0.544516921,-0.928870201,0.317518353,-1.27843583,-1.15586877,0.122567058,0.0274618082,0.193062648,256,63.5820312,0,9.99999975e-05,256,16277,14993,1284,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,29,0.721896112,-0.850659311,0.880052567,0.747923493,0.751289368,0.00336587429,0.0335799865,0.288669586,256,50.8046875,0,9.99999975e-05,256,13006,11845,1161,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,30,0.533486307,0.345811605,1.09812272,1.98466086,1.97742057,0.00724029541,0.00398876797,0.00407302938,256,13.7070312,0,9.99999975e-05,256,3509,3012,497,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,31,0.830785871,0.0129929949,-0.975809216,-0.201443791,-0.132030368,0.0694134235,0.0278570466,0.198659852,256,32.53125,0,9.99999975e-05,256,8328,7645,683,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,32,0.813043475,-0.690540493,0.92247957,1.0490948,1.04498255,0.00411224365,0.0324184038,0.269043952,256,36.515625,0,9.99999975e-05,256,9348,8641,707,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,33,-1.06913912,0.240271136,-0.146089584,-1.01367414,-0.974957585,0.0387165546,0.0182853248,0.0855943933,256,30.453125,0,9.99999975e-05,256,7796,7095,701,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,34,-0.546839952,-0.836943567,-0.792940497,-2.19194317,-2.17672396,0.0152192116,0.034620408,0.306834579,256,46.2421875,1,9.99999975e-05,256,11838,10927,911,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,35,0.919254601,0.338374823,0.920297027,2.20928121,2.17792654,0.0313546658,0.0245613139,0.15443407,256,38.96875,0,9.99999975e-05,256,9976,9094,882,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,36,-0.950967193,0.578466833,-0.569361806,-0.998896122,-0.941862166,0.0570339561,0.0320761539,0.263393193,256,45.5546875,0,9.99999975e-05,256,11662,10739,923,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,37,-0.856356621,0.857685804,0.410542637,0.452324092,0.411871821,0.0404522717,0.039901875,0.407592863,256,49.5273438,0,9.99999975e-05,256,12679,11628,1051,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,38,0.399649769,0.911472201,0.487680316,1.92968512,1.79880226,0.130882859,0.0317688771,0.258370966,256,62.7578125,0,9.99999975e-05,256,16066,14693,1373,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,39,0.8862831,0.484921604,-0.965707958,0.379689246,0.405496776,0.0258075297,0.0272528436,0.190135673,256,36.4921875,0,9.99999975e-05,256,9342,8616,726,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,40,-0.833433211,0.0322562493,-0.57291925,-1.53387034,-1.37409616,0.159774184,0.042962186,0.472511828,256,80.859375,0,9.99999975e-05,256,20700,19022,1678,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,41,-1.08221769,-0.503601611,-0.302469164,-1.90389729,-1.88828838,0.0156089067,0.0078888759,0.0159319956,256,22.625,0,9.99999975e-05,256,5792,5248,544,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,42,-0.747502446,-0.695805311,-0.294549644,-1.91750562,-1.73785734,0.17964828,0.0314058885,0.252500415,256,81.65625,0,9.99999975e-05,256,20904,19184,1720,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,43,0.936558425,0.270633698,-0.332234889,0.93967694,0.874957323,0.0647196174,0.0464719236,0.552867711,256,75.8320312,0,9.99999975e-05,256,19413,17923,1490,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,44,-0.468204111,-1.03770196,0.509870887,-1.07409,-0.996035218,0.0780547857,0.0190465339,0.0928692296,256,37.0117188,0,9.99999975e-05,256,9475,8685,790,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,45,0.0708140805,-0.977128625,-0.698683321,-1.6403209,-1.60499787,0.0353230238,0.0293933079,0.221175447,256,39.1875,0,9.99999975e-05,256,10032,9289,743,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,46,-1.08003056,0.0887897685,0.63502568,-0.374560207,-0.356215119,0.0183450878,0.0148176719,0.0562082306,256,25.1914062,0,9.99999975e-05,256,6449,5838,611,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,47,-0.443023086,1.00982964,-1.02821565,-0.461533427,-0.461409092,0.000124335289,0.0159475207,0.0651067942,256,28.2070312,0,9.99999975e-05,256,7221,6611,610,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,48,-1.02739704,-0.0794651881,-0.8468799,-1.98563719,-1.95374203,0.0318951607,0.0147133423,0.0554195046,256,28.921875,0,9.99999975e-05,256,7404,6797,607,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,49,-1.06565416,0.541796327,0.578846574,0.0523129143,0.0549887419,0.00267582759,0.0150388638,0.0578988642,256,26.3789062,0,9.99999975e-05,256,6753,6188,565,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,50,-1.05694842,0.730526865,0.389614463,0.0679678023,0.063192904,0.00477489829,0.0168111324,0.0723492354,256,23.921875,0,9.99999975e-05,256,6124,5608,516,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,51,0.337375641,-0.961575806,-0.931716263,-1.55588531,-1.55591643,3.11136246e-05,0.0301762391,0.233114988,256,34.1757812,0,9.99999975e-05,256,8749,8073,676,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,52,-1.03532362,0.659452498,0.973249316,0.596208394,0.597378194,0.00116980076,0.017095197,0.0748149082,256,24.5859375,0,9.99999975e-05,256,6294,5781,513,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,53,0.966365159,-0.996419668,-0.455053031,-0.445907384,-0.485107541,0.0392001569,0.026334513,0.17753768,256,36.7851562,0,9.99999975e-05,256,9417,8652,765,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,54,-0.916714728,0.13054049,-1.0994246,-1.8866607,-1.8855989,0.00106179714,0.000954965653,0.000233461586,256,9.51171875,0,9.99999975e-05,256,2435,1904,531,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,55,-1.03485787,0.867131352,0.683810294,0.487558275,0.516083777,0.0285255015,0.0188910775,0.091359444,256,25.6132812,0,9.99999975e-05,256,6557,6044,513,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,56,-1.07799649,0.489437819,-1.06429529,-1.6541549,-1.65285397,0.00130093098,0.00745597528,0.0142314406,256,19.1132812,0,9.99999975e-05,256,4893,4379,514,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,57,0.0615398549,-0.816983461,-0.915260077,-1.71041739,-1.67070365,0.0397137403,0.0332897082,0.283700407,256,51.578125,0,9.99999975e-05,256,13204,12217,987,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,58,-1.0165472,1.03901696,-0.806799769,-0.794330955,-0.78433001,0.0100009441,0.0109004769,0.0304180216,256,22.4492188,0,9.99999975e-05,256,5747,5183,564,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,59,-0.801100194,-0.335347503,-0.874689281,-2.06923962,-2.01113701,0.0581026077,0.0306190625,0.240006909,256,48.796875,0,9.99999975e-05,256,12492,11527,965,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,60,-1.00781,-1.04426551,-0.968482792,-3.0272212,-3.02055812,0.00666308403,0.00962554384,0.0237186812,256,22.5507812,0,9.99999975e-05,256,5773,5254,519,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,61,-0.912184596,-0.00910327863,-0.993070602,-1.90169823,-1.9143585,0.012660265,0.0312447641,0.249916226,256,29.3632812,0,9.99999975e-05,256,7517,6870,647,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,62,-0.068530038,-0.673536301,-0.972919762,-1.74356735,-1.71498609,0.0285812616,0.0334819891,0.286987185,256,44.296875,0,9.99999975e-05,256,11340,10391,949,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,63,0.892485678,-0.334756792,-0.970480621,-0.400937945,-0.412751734,0.0118137896,0.025349427,0.164503932,256,31.4492188,0,9.99999975e-05,256,8051,7387,664,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,64,-0.445440233,-0.512588978,-1.09207916,-2.05078101,-2.05010843,0.000672578812,0.00839753915,0.0180527791,256,18.5546875,0,9.99999975e-05,256,4750,4176,574,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,65,1.04090881,-0.959117949,-0.900246501,-0.847208917,-0.818455637,0.0287532806,0.0152537879,0.0595655777,256,25.453125,0,9.99999975e-05,256,6516,6017,499,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,66,0.508168161,0.932179272,1.03443682,2.48140526,2.47478437,0.00662088394,0.016379131,0.0686786398,256,29.2890625,0,9.99999975e-05,256,7498,6895,603,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,67,-1.07519734,0.295643717,0.292442024,-0.493596673,-0.487111628,0.00648504496,0.0143934954,0.0530362129,256,27.6328125,0,9.99999975e-05,256,7074,6427,647,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,68,1.07365608,0.520933807,0.297249645,1.91704726,1.89183962,0.0252076387,0.010813185,0.0299327951,256,22.53125,0,9.99999975e-05,256,5768,5234,534,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,69,-0.920687139,1.02949703,0.914340615,1.01102328,1.02315044,0.012127161,0.0202038419,0.104497977,256,27.3515625,0,9.99999975e-05,256,7002,6385,617,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,70,0.95033592,-0.724874735,-1.05828142,-0.815576553,-0.832820237,0.0172436833,0.0120954523,0.0374527909,256,22.453125,0,9.99999975e-05,256,5748,5264,484,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54577,71,0.849369705,-0.815406382,-0.964401364,-0.948468089,-0.930438042,0.0180300474,0.0259232763,0.172036156,256,26.9648438,0,9.99999975e-05,256,6903,6327,576,1
