mesh,mesh_variant,point_id,distance_bin,bin_min,bin_max,x,y,z,nearest_distance_proxy_norm,local_edge_mean_norm,local_area_norm,local_aspect_ratio,local_quality,local_normal_variation,point_index,boundary,seed,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid,dataset,walks
bunny,original,0,1,0.05,0.15,-0.067084685,0.117976248,0.0773394257,0.09737175020327817,0.0055640546066623355,1.1658161306403506e-05,1.6771101699661548,0.8345503788400301,0.004748014555633229,0,neumann,19361,0.128230989,0.0001,4.99999987e-05,0.136590719,0.140172645,0.00358192623,0.0329604596,0.00835973024,0.0119416565,0.0577951558,0.0508772768,0.0534444787,0.0414159596,93.875,143,16,16,0,0,1,part1_bias,16
bunny,original,1,1,0.05,0.15,-0.0922575668,0.159452081,0.0443730466,0.06648822839078515,0.006698542607324648,1.53197013561852e-05,2.106330294698812,0.7276898808220521,0.0025474463904191502,1,neumann,19361,0.111567557,0.0001,4.99999987e-05,0.0778252706,0.192436725,0.114611454,1.17358768,0.0337422863,0.080869168,0.0491245389,0.0485335179,0.0386115238,0.0376880355,88.375,156.3125,16,16,0,0,1,part1_bias,16
bunny,original,0,2,0.15,0.3,0.0203218441,0.192576095,-0.00220530643,0.1646381967620308,0.005901227003386365,1.3301397204626614e-05,1.6761065028003415,0.8466275899307658,0.0020217772316998284,2,neumann,19361,0.210692629,0.0001,4.99999987e-05,0.243601233,0.233060494,0.0105407387,0.145528629,0.0329086035,0.0223678648,0.041571226,0.0308584608,0.0276506692,0.015235913,37.375,38.375,16,16,0,0,1,part1_bias,16
bunny,original,1,2,0.15,0.3,-0.0995398015,-0.0212173685,0.0726171285,0.2952996189140681,0.005173907006910939,1.012982431669557e-05,1.6085133540228789,0.8423055781327221,0.08035621681593667,3,neumann,19361,-0.0481400415,0.0001,4.99999987e-05,-0.0935838893,-0.0214385334,0.0721453577,0.639863968,0.0454438478,0.0267015081,0.0592422858,0.0535077937,0.056154374,0.0458093472,32.875,97.625,16,16,0,0,1,part1_bias,16
bunny,original,0,3,0.3,0.6,0.0775520578,-0.0479117967,-0.0735618696,0.47118815931129737,0.005382959141377156,9.051852071605959e-06,1.9492105706915315,0.6721488395249682,0.06375385264246218,4,neumann,19361,-0.0439216085,0.0001,4.99999987e-05,0.0292105787,-0.174385637,0.203596219,1.75674391,0.0731321871,0.130464032,0.0562640876,0.0596289933,0.0506503582,0.056889873,29.9375,74.6875,16,16,0,0,1,part1_bias,16
bunny,original,1,3,0.3,0.6,0.170051157,0.0868795365,-0.0763519406,0.5561819240696056,0.005521081039446318,1.274548175698275e-05,1.301921813432172,0.9547247539850581,0.005689193037914486,5,neumann,19361,0.180578768,0.0001,4.99999987e-05,0.143020809,0.17742753,0.0344067216,0.546056986,0.0375579596,0.00315123796,0.033538729,0.0294696707,0.0179975405,0.013895385,30.5,25.5625,16,16,0,0,1,part1_bias,16
bunny,original,0,4,0.6,1.0,-0.119972147,-0.0806263313,0.130840808,0.6255723574720307,0.005169367022023663,1.0115516565606703e-05,1.6049680667068116,0.8427670501797373,0.0382698197297198,6,neumann,19361,-0.0697576702,0.0001,4.99999987e-05,-0.025747763,-0.0351845771,0.00943681411,0.116959415,0.044009909,0.0345730931,0.0421786755,0.0385048464,0.0284646526,0.0237219725,30.9375,28,16,16,0,0,1,part1_bias,16
bunny,original,1,4,0.6,1.0,0.0432558507,-0.137836963,0.0760126561,0.7147609639398163,0.005594085194917337,1.2446365708831615e-05,1.5113271910727628,0.8941251257146124,0.034112443946133476,7,neumann,19361,-0.0185684562,0.0001,4.99999987e-05,0.00457539177,0.0032362137,0.00133917807,0.012774067,0.0231438484,0.0218046699,0.0465931669,0.0582415164,0.0347347707,0.0542731844,31.4375,40.5,16,16,0,0,1,part1_bias,16
spot,original,0,1,0.05,0.15,0.175492898,0.508770585,0.363037527,0.08790032699131115,0.01873922480778658,0.0001378627511715167,1.5393406172229183,0.8802975978458492,0.009415860260529244,0,neumann,61337,1.04730105,0.0001,4.99999987e-05,1.10204411,1.44956827,0.347524166,0.656714499,0.0547430515,0.402267218,0.330215603,0.198969468,1.74467742,0.6334216,168,228.6875,16,16,0,0,1,part1_bias,16
spot,original,1,1,0.05,0.15,-0.58936739,1.04223657,-0.397771597,0.14229619642193464,0.015566854771269333,0.00010336423075201939,1.182324820246563,0.9803555946815969,0.09504813274172737,1,neumann,61337,0.05509758,0.0001,4.99999987e-05,0.085200198,0.0573777296,0.0278224684,0.19686237,0.030102618,0.00228014961,0.0649227053,0.0764058381,0.0674393177,0.0934056416,54.375,37.8125,16,16,0,0,1,part1_bias,16
