mesh,mesh_variant,point_id,distance_bin,bin_min,bin_max,x,y,z,nearest_distance_proxy_norm,local_edge_mean_norm,local_area_norm,local_aspect_ratio,local_quality,local_normal_variation,point_index,boundary,seed,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,diverged,epsilon,walks_per_point,star_queries,fast_only_star_queries,exact_star_queries,is_valid,dataset,walks
bunny,original,0,1,0.05,0.15,-0.067084685,0.117976248,0.0773394257,0.09737175020327817,0.0055640546066623355,1.1658161306403506e-05,1.6771101699661548,0.8345503788400301,0.004748014555633229,0,neumann,12361,0.0948273093,0.128230989,0.0334036797,0.0582374446,0.054265596,16,102.9375,0,0.0001,16,1647,1467,180,1,part1_neumann,16
bunny,original,1,1,0.05,0.15,-0.0922575668,0.159452081,0.0443730466,0.06648822839078515,0.006698542607324648,1.53197013561852e-05,2.106330294698812,0.7276898808220521,0.0025474463904191502,1,neumann,12361,0.162072614,0.111567557,0.050505057,0.035502661,0.0201670211,16,60.5625,0,0.0001,16,969,907,62,1,part1_neumann,16
bunny,original,0,2,0.15,0.3,0.0203218441,0.192576095,-0.00220530643,0.1646381967620308,0.005901227003386365,1.3301397204626614e-05,1.6761065028003415,0.8466275899307658,0.0020217772316998284,2,neumann,12361,0.246339113,0.210692629,0.0356464833,0.03759031,0.0226085,16,61.75,0,0.0001,16,988,909,79,1,part1_neumann,16
bunny,original,1,2,0.15,0.3,-0.0995398015,-0.0212173685,0.0726171285,0.2952996189140681,0.005173907006910939,1.012982431669557e-05,1.6085133540228789,0.8423055781327221,0.08035621681593667,3,neumann,12361,-0.0254731327,-0.0481400415,0.0226669088,0.0539903939,0.0466394052,16,49.625,0,0.0001,16,794,736,58,1,part1_neumann,16
bunny,original,0,3,0.3,0.6,0.0775520578,-0.0479117967,-0.0735618696,0.47118815931129737,0.005382959141377156,9.051852071605959e-06,1.9492105706915315,0.6721488395249682,0.06375385264246218,4,neumann,12361,-0.0279504396,-0.0439216085,0.0159711689,0.0706267878,0.0798102915,16,32.1875,0,0.0001,16,515,478,37,1,part1_neumann,16
bunny,original,1,3,0.3,0.6,0.170051157,0.0868795365,-0.0763519406,0.5561819240696056,0.005521081039446318,1.274548175698275e-05,1.301921813432172,0.9547247539850581,0.005689193037914486,5,neumann,12361,0.205540583,0.180578768,0.0249618143,0.0396495238,0.0251533575,16,24.625,0,0.0001,16,394,356,38,1,part1_neumann,16
bunny,original,0,4,0.6,1.0,-0.119972147,-0.0806263313,0.130840808,0.6255723574720307,0.005169367022023663,1.0115516565606703e-05,1.6049680667068116,0.8427670501797373,0.0382698197297198,6,neumann,12361,-0.00606431207,-0.0697576702,0.0636933595,0.0441200696,0.0311452895,16,32.75,0,0.0001,16,524,491,33,1,part1_neumann,16
bunny,original,1,4,0.6,1.0,0.0432558507,-0.137836963,0.0760126561,0.7147609639398163,0.005594085194917337,1.2446365708831615e-05,1.5113271910727628,0.8941251257146124,0.034112443946133476,7,neumann,12361,0.0148262996,-0.0185684562,0.0333947539,0.0577247702,0.0533143841,16,23.75,0,0.0001,16,380,343,37,1,part1_neumann,16
spot,original,0,1,0.05,0.15,0.175492898,0.508770585,0.363037527,0.08790032699131115,0.01873922480778658,0.0001378627511715167,1.5393406172229183,0.8802975978458492,0.009415860260529244,0,neumann,54337,1.30655324,1.04730105,0.259252191,0.307889104,1.51673126,16,316.1875,1,0.0001,16,5059,4642,417,1,part1_neumann,16
spot,original,1,1,0.05,0.15,-0.58936739,1.04223657,-0.397771597,0.14229619642193464,0.015566854771269333,0.00010336423075201939,1.182324820246563,0.9803555946815969,0.09504813274172737,1,neumann,54337,-0.00474006869,0.05509758,0.0598376468,0.145239621,0.337512761,16,69.625,0,0.0001,16,1114,1013,101,1,part1_neumann,16
spot,original,0,2,0.15,0.3,-0.0302099232,-0.325094938,-0.904855967,0.2233584215069923,0.02710975318262268,0.00027362439175561155,1.77461873860359,0.8179498380008549,0.006068535415409452,2,neumann,54337,-1.05617523,-1.2601608,0.203985572,0.229720429,0.844343662,16,99.8125,0,0.0001,16,1597,1462,135,1,part1_neumann,16
spot,original,1,2,0.15,0.3,-1.00044477,0.364955246,0.260165095,0.28420466436929526,0.023027310039985153,0.0002119274787538168,1.4040395621510111,0.9029783111390253,0.0005195762622197305,3,neumann,54337,-0.383565009,-0.375324428,0.00824058056,0.163373634,0.427055091,16,51.6875,0,0.0001,16,827,764,63,1,part1_neumann,16
spot,original,0,3,0.3,0.6,-1.02739704,-0.0794651881,-0.8468799,0.32452196251902,0.02162991582982897,0.00019127774652161002,1.3343936723164176,0.9289528985850508,0.03813572704440656,4,neumann,54337,-1.93303049,-1.95374203,0.0207115412,0.0820611715,0.107744575,16,33.9375,0,0.0001,16,543,506,37,1,part1_neumann,16
spot,original,1,3,0.3,0.6,-1.06565416,0.541796327,0.578846574,0.35134368808558025,0.021600748135061992,0.0001840490416208889,1.5084737605926613,0.8863520239003447,0.001166130969533478,5,neumann,54337,0.189382449,0.0549887419,0.134393707,0.0996267796,0.158807933,16,22.5,0,0.0001,16,360,337,23,1,part1_neumann,16
