mesh,dataset,feature,bin,feature_min,feature_max,count,abs_error_mean,abs_error_median,sample_variance_mean,sample_variance_median,samples_used_mean,samples_used_median,mean_steps_mean,mean_steps_median,bias_indicator_mean,bias_indicator_median,normalized_bias_mean,normalized_bias_median,abs_error_epsilon_mean,abs_error_epsilon_median
bunny,dirichlet_pointcloud,nearest_distance_proxy_norm,1,0.002661630730350484,0.4421411047787762,123,0.006312390092691058,0.0054109283,0.02223584450097561,0.022346996,256.0,256.0,23.445249008130084,23.914062,,,,,,
bunny,dirichlet_pointcloud,nearest_distance_proxy_norm,2,0.4421411047787762,0.652730911022619,123,0.006661231866585365,0.0051674545,0.02046453091682927,0.017950611,256.0,256.0,22.013656056910566,22.289062,,,,,,
bunny,dirichlet_pointcloud,nearest_distance_proxy_norm,3,0.652730911022619,0.844150389267729,123,0.0053912740816902446,0.0034534633,0.016087166426788615,0.014593977,256.0,256.0,20.749650666666664,21.613281,,,,,,
bunny,dirichlet_pointcloud,nearest_distance_proxy_norm,4,0.844150389267729,1.316050594301694,123,0.00435817322104065,0.0023279488,0.010113900914359349,0.0086718854,256.0,256.0,19.58295216097561,20.5,,,,,,
bunny,dirichlet_pointcloud,local_edge_mean_norm,1,0.0017313937537269978,0.005402306526495298,123,0.005973671927389432,0.0049676895,0.01629029572753008,0.014993255,256.0,256.0,21.408568349593498,21.714844,,,,,,
bunny,dirichlet_pointcloud,local_edge_mean_norm,2,0.005402306526495298,0.005711272304912953,123,0.0055613227323252044,0.0043172985,0.014953400126723576,0.012830996,256.0,256.0,21.296970274796752,21.339844,,,,,,
bunny,dirichlet_pointcloud,local_edge_mean_norm,3,0.005711272304912953,0.006294042889402351,123,0.005520239563260162,0.0044318922,0.017001099266097556,0.013621257,256.0,256.0,21.56345278861789,22.03125,,,,,,
bunny,dirichlet_pointcloud,local_edge_mean_norm,4,0.006294042889402351,0.012542230422077841,123,0.005667835039032521,0.0034169368,0.020656647638601623,0.018647876,256.0,256.0,21.522516479674792,22.003906,,,,,,
bunny,dirichlet_pointcloud,local_normal_variation,1,2.703387458106536e-05,0.004272460568661919,123,0.00514518253281301,0.0033091828,0.01701189897761138,0.014463781,256.0,256.0,21.22341843902439,21.609375,,,,,,
bunny,dirichlet_pointcloud,local_normal_variation,2,0.004272460568661919,0.013072050112379368,123,0.005518394357511382,0.003850013,0.017900353182276424,0.015138025,256.0,256.0,21.67520964227642,21.949219,,,,,,
