mesh,dataset,feature,target,pearson_r,n
bunny,dirichlet_pointcloud,nearest_distance_proxy_norm,abs_error,-0.16462035194106084,492
bunny,dirichlet_pointcloud,nearest_distance_proxy_norm,std_error,-0.35022429686028606,492
bunny,dirichlet_pointcloud,nearest_distance_proxy_norm,sample_variance,-0.3475180174534353,492
bunny,dirichlet_pointcloud,nearest_distance_proxy_norm,samples_used,nan,492
bunny,dirichlet_pointcloud,nearest_distance_proxy_norm,mean_steps,-0.4759095224121571,492
bunny,dirichlet_pointcloud,local_edge_mean_norm,abs_error,0.02100031077044651,492
bunny,dirichlet_pointcloud,local_edge_mean_norm,std_error,0.10326656164757762,492
bunny,dirichlet_pointcloud,local_edge_mean_norm,sample_variance,0.1460085344546277,492
bunny,dirichlet_pointcloud,local_edge_mean_norm,samples_used,nan,492
bunny,dirichlet_pointcloud,local_edge_mean_norm,mean_steps,0.0031161457300270734,492
bunny,dirichlet_pointcloud,local_area_norm,abs_error,0.015622097974100071,492
bunny,dirichlet_pointcloud,local_area_norm,std_error,0.09765486170692646,492
bunny,dirichlet_pointcloud,local_area_norm,sample_variance,0.1355664962597033,492
bunny,dirichlet_pointcloud,local_area_norm,samples_used,nan,492
bunny,dirichlet_pointcloud,local_area_norm,mean_steps,0.01679548593988407,492
bunny,dirichlet_pointcloud,local_aspect_ratio,abs_error,0.03503124670061361,492
bunny,dirichlet_pointcloud,local_aspect_ratio,std_error,0.07119118746248869,492
bunny,dirichlet_pointcloud,local_aspect_ratio,sample_variance,0.06885523548696429,492
bunny,dirichlet_pointcloud,local_aspect_ratio,samples_used,nan,492
bunny,dirichlet_pointcloud,local_aspect_ratio,mean_steps,0.024963865068517867,492
bunny,dirichlet_pointcloud,local_quality,abs_error,-0.030407082440436828,492
bunny,dirichlet_pointcloud,local_quality,std_error,-0.03485811992350434,492
bunny,dirichlet_pointcloud,local_quality,sample_variance,-0.033005302466126554,492
bunny,dirichlet_pointcloud,local_quality,samples_used,nan,492
bunny,dirichlet_pointcloud,local_quality,mean_steps,0.002155129339008575,492
bunny,dirichlet_pointcloud,local_normal_variation,abs_error,0.05312879203328006,492
bunny,dirichlet_pointcloud,local_normal_variation,std_error,0.030861659583769976,492
bunny,dirichlet_pointcloud,local_normal_variation,sample_variance,0.0185108729959961,492
bunny,dirichlet_pointcloud,local_normal_variation,samples_used,nan,492
bunny,dirichlet_pointcloud,local_normal_variation,mean_steps,0.03960993658399558,492
bunny,neumann_pointcloud,nearest_distance_proxy_norm,abs_error,-0.36056658927308394,99
