experiment,method,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,star_queries,fast_only_star_queries,exact_star_queries
adaptive_compare,fixed,11350073,0,-0.0849249363,-0.403410435,-0.334206104,-1.04380572,-0.822541475,0.221264243,0.127456725,0.519846916,32,24.53125,785,722,63
adaptive_compare,fixed,11350073,1,-0.820867896,-0.438048601,-0.222824693,-1.34600234,-1.48174119,0.13573885,0.0946433321,0.286635548,32,23.71875,759,702,57
adaptive_compare,fixed,11350073,2,0.359661818,0.687697053,0.525253057,1.53264976,1.57261193,0.0399621725,0.106262632,0.361335903,32,26.34375,843,773,70
adaptive_compare,fixed,11350073,3,-0.596736073,-0.782396197,0.817286015,-0.551595211,-0.561846256,0.0102510452,0.068050921,0.148189709,32,20.65625,661,597,64
adaptive_compare,fixed,11350073,4,-0.613829255,0.894742012,0.739338875,1.03698742,1.02025163,0.0167357922,0.0835329592,0.223288178,32,26.59375,851,777,74
adaptive_compare,fixed,11350073,5,0.980724931,0.669052482,-0.750744104,0.894718051,0.899033308,0.00431525707,0.0165489558,0.00876377337,32,21.0625,674,605,69
adaptive_compare,fixed,11350073,6,-0.181959987,0.840102315,-0.103840828,0.574076176,0.5543015,0.0197746754,0.038184002,0.0466565788,32,23.1875,742,675,67
adaptive_compare,fixed,11350073,7,0.858416677,-0.691859365,-0.104853749,0.168326825,0.0617035627,0.106623262,0.0760410279,0.185031608,32,24.28125,777,718,59
adaptive_compare,fixed,11350073,8,-0.547895193,0.215225339,-0.0236042738,-0.528529465,-0.356274128,0.172255337,0.10326077,0.341209173,32,30.25,968,895,73
adaptive_compare,fixed,11350073,9,0.184701324,0.537868142,-0.598877311,0.179421708,0.123692155,0.0557295531,0.0450414866,0.0649195313,32,24.1875,774,713,61
adaptive_compare,fixed,11350073,10,-0.344360948,0.499720097,0.563081384,0.750904679,0.718440533,0.0324641466,0.115715243,0.428480566,32,29.53125,945,886,59
adaptive_compare,fixed,11350073,12,-0.563693404,-0.443703175,0.547920108,-0.397957265,-0.459476471,0.0615192056,0.0867221653,0.240663484,32,27.5,880,826,54
adaptive_compare,fixed,11350073,13,0.440633297,0.631047606,0.272076488,1.45969498,1.34375739,0.115937591,0.0930795893,0.277241945,32,27.65625,885,816,69
adaptive_compare,fixed,11350073,14,-0.909489155,0.384554863,0.660644293,0.0833418593,0.135710001,0.0523681417,0.0583650395,0.109007291,32,23.71875,759,699,60
adaptive_compare,fixed,11350073,15,-0.497153163,0.55934906,-0.627428293,-0.708228409,-0.565232396,0.142996013,0.0802321434,0.205990314,32,25.53125,817,754,63
