point_id,x,y,z,exact,value,abs_error,std_error,sample_variance,predicted_samples,samples_used,mean_steps,is_valid
0,0.18571344,-0.00811344385,0.125877023,0.303477019,0.306509107,0.00303208828,0.0069429432,0.0152808148,317,317,21.8044167,1
1,-0.12570563,0.0418971777,-0.198673248,-0.2824817,-0.279251933,0.00322976708,0.00805061776,0.00771268038,119,119,20.1596642,1
2,0.0147204399,0.0679660141,0.162610173,0.245296627,0.258848578,0.0135519505,0.00727666309,0.0221859757,419,419,23.1121712,1
3,0.10730952,0.0161481947,0.133617848,0.257075548,0.254458189,0.00261735916,0.00802490953,0.035355147,549,549,23.5537338,1
4,0.147833765,0.163452566,-0.171116024,0.140170306,0.145173728,0.0050034225,0.0094241146,0.0110129276,124,124,20.0806446,1
5,0.00287519395,0.136472702,-0.200707674,-0.061359778,-0.0663533509,0.00499357283,0.00643875636,0.00692341616,167,167,19.9820366,1
6,-0.0648946613,-0.14963457,-0.0744519681,-0.288981199,-0.298152775,0.00917157531,0.0062488229,0.028387744,727,727,23.2159557,1
7,0.20415628,0.0859167576,0.0946768522,0.384749889,0.389790058,0.00504016876,0.00898232963,0.00677730842,84,84,19,1
8,-0.159327462,-0.0871327221,0.0891526043,-0.15730758,-0.157793567,0.000485986471,0.00998447742,0.0205360949,206,206,22.2766991,1
9,0.0410877168,0.114245117,0.0768450499,0.232177883,0.221522614,0.010655269,0.00841675885,0.0191272963,270,270,24.3259258,1
10,-0.0318728983,0.169016451,0.0494035482,0.186547101,0.188933492,0.00238639116,0.00713842874,0.00871367473,171,171,22.9590645,1
11,-0.00993928313,0.0313486755,0.0145307779,0.0359401703,0.0310164355,0.00492373481,0.00589626096,0.00740513531,213,213,17.3615017,1
12,-0.159937292,-0.00893746316,0.000782817602,-0.168091938,-0.174199685,0.00610774755,0.00783712044,0.0265950598,433,433,24.8775978,1
13,-0.0128843635,0.124642223,0.148057401,0.259815276,0.258754134,0.00106114149,0.00839827582,0.0196781587,279,279,23.6953411,1
14,-0.0155024976,-0.189217493,0.0478217304,-0.15689826,-0.158042952,0.0011446923,0.00902731437,0.0208620578,256,256,22.4960938,1
15,0.178939462,0.0267566293,-0.089620322,0.116075769,0.112575658,0.0035001114,0.00639888411,0.0203090757,496,496,21.9193554,1
16,0.00809194148,0.0878287256,-0.163911819,-0.0679911524,-0.0730730221,0.00508186966,0.00695267133,0.0248465743,514,514,23.4669266,1
17,-0.152097404,0.132482708,-0.12641488,-0.146029577,-0.153915837,0.00788626075,0.0081394827,0.0179540683,271,271,22.5535049,1
18,0.125241369,0.0546133518,-0.195916131,-0.0160614103,-0.020975234,0.00491382368,0.00577065209,0.00875801221,263,263,20.8745251,1
19,-0.181440294,-0.165265694,-0.0604966134,-0.407202601,-0.410323352,0.00312075019,0.00648220768,0.0122695537,292,292,21.6986294,1
