experiment,method,mesh,seed,num_query_points,valid_points,walks_per_point,epsilon,min_samples,max_samples,batch_size,target_rse,elapsed_seconds,rmse,mae,mean_relative_error,mean_std_error,mean_sample_variance,mean_samples_used,median_samples_used,min_samples_used,max_samples_used,mean_steps,diverged_count,star_queries,fast_only_star_queries,exact_star_queries,refinement_ratio
adaptive_compare,fixed,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11390073,500,489,512,9.99999975e-05,64,512,32,0.0500000007,27.4552536,0.00559623071362,0.00428741220335,0.0663941312484,0.00542531244208,0.0174710070783,512,512,512,512,21.6183737538,0,5412549,4911485,501064,0.0925744967852
adaptive_compare,old_absolute_stderr,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11390073,500,489,512,9.99999975e-05,64,512,32,0.0500000007,26.1873607,0.00560107909353,0.00430233185006,0.0664170963263,0.00542738872277,0.0174642813747,501.987730061,512,64,512,21.6249708817,0,5362168,4870868,491300,0.091623388152
adaptive_compare,relative_stderr,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11390073,500,489,512,9.99999975e-05,64,512,32,0.0500000007,16.7568795,0.00881265459973,0.00656646127841,0.0756132121996,0.00805812783109,0.0173449811471,292.253578732,256,64,512,21.5966290882,0,3245923,2959917,286006,0.0881123797453
adaptive_compare,fixed,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11391082,500,491,512,9.99999975e-05,64,512,32,0.0500000007,26.4240654,0.0059899395489,0.0042990616638,0.127214312963,0.00539642220707,0.0175362739848,512,512,512,512,21.5293485871,0,5412306,4908344,503962,0.0931140996093
adaptive_compare,old_absolute_stderr,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11391082,500,491,512,9.99999975e-05,64,512,32,0.0500000007,26.6539335,0.00599122495615,0.00430273323963,0.129859919063,0.00539666804556,0.0175284807829,501.050916497,512,64,512,21.5317263477,0,5349760,4857377,492383,0.09203833443
adaptive_compare,relative_stderr,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11391082,500,491,512,9.99999975e-05,64,512,32,0.0500000007,16.0077342,0.00912010021197,0.00660158451642,0.13675425465,0.00785282284954,0.0170310302276,288.977596741,256,64,512,21.5425585341,0,3226073,2941930,284143,0.0880770521932
adaptive_compare,fixed,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11392091,500,491,512,9.99999975e-05,64,512,32,0.0500000007,26.1581761,0.00616942632159,0.00444633046155,0.104731462568,0.00539053644005,0.0176940890843,512,512,512,512,21.5528775776,0,5418221,4913557,504664,0.0931420110032
adaptive_compare,old_absolute_stderr,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11392091,500,491,512,9.99999975e-05,64,512,32,0.0500000007,26.2577825,0.00617208050055,0.00445866350548,0.104899681945,0.00539416280928,0.0176887713792,500.268839104,512,64,512,21.5407947416,0,5352536,4859833,492703,0.0920503850885
adaptive_compare,relative_stderr,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,11392091,500,491,512,9.99999975e-05,64,512,32,0.0500000007,17.6098666,0.00884564935267,0.00661857790563,0.113542911397,0.00754215299014,0.0173694277107,304.553971487,320,64,512,21.4919376587,0,3410341,3110125,300216,0.08803107959
antithetic_compare,normal,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,95210,500,493,512,9.99999975e-05,64,512,32,0.0500000007,26.3255782,0.00598272047276,0.00444532119315,0.100485601161,0.00544545621975,0.0177132180678,512,512,512,512,21.5859454234,0,5448638,4942551,506087,0.0928832122817
antithetic_compare,antithetic,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,95210,500,493,512,9.99999975e-05,64,512,32,0.0500000007,26.0042392,0.0045005383488,0.00338156212542,0.0907893889226,0.00419439959573,0.00498429862187,512,512,512,512,21.5632091468,0,5442899,4937531,505368,0.0928490497435
antithetic_compare,normal,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,96219,500,491,512,9.99999975e-05,64,512,32,0.0500000007,25.9343288,0.00593897705024,0.0043680551955,0.144853797601,0.00532885574404,0.0171779617434,512,512,512,512,21.4512832548,0,5392681,4889008,503673,0.0933993685145
antithetic_compare,antithetic,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,96219,500,491,512,9.99999975e-05,64,512,32,0.0500000007,26.3705605,0.00429615853541,0.00337679751949,0.130976844445,0.00412536712232,0.00485356713325,512,512,512,512,21.4320503437,0,5387846,4883307,504539,0.0936439163257
