point_id,x,y,z,exact,value,abs_error,std_error,sample_variance,predicted_samples,samples_used,mean_steps,is_valid
0,1.00699294,-0.296547174,0.440113544,1.15055931,1.14743042,0.00312888622,0.0137779992,0.194389269,1024,1024,26.2236328,1
1,-0.396574378,0.027755022,0.120487213,-0.248332143,-0.246826723,0.00150541961,0.0114424732,0.134072527,1024,1024,24.4345703,1
2,-0.609459579,0.0604089499,0.0796958208,-0.469354808,-0.450728744,0.0186260641,0.0203726143,0.425004482,1024,1024,28.5107422,1
3,-0.760084927,-0.269259095,-1.04188371,-2.07122779,-2.07859588,0.00736808777,0.0104754921,0.112369597,1024,1024,23.9697266,1
4,-0.367459655,0.257567644,0.825684905,0.715792894,0.728622079,0.0128291845,0.0173849389,0.309489757,1024,1024,27.0878906,1
5,0.962812066,0.911488891,-0.909880757,0.964420199,0.954599023,0.00982117653,0.0109245218,0.0940439999,788,788,24.0355339,1
6,0.748587251,0.422069788,-0.0203464031,1.15031064,1.16602659,0.0157159567,0.0213400237,0.466326147,1024,1024,28.8222656,1
7,-0.156640291,-0.553196311,1.02955377,0.319717169,0.308866769,0.0108503997,0.0105062732,0.0380817167,345,345,24.3739128,1
8,-0.548738778,0.538139462,-1.05563807,-1.06623745,-1.07498956,0.00875210762,0.00878978707,0.0791145936,1024,1024,23.9511719,1
9,0.195562005,-1.00014198,-0.909625173,-1.71420515,-1.71012938,0.00407576561,0.0118553881,0.143923447,1024,1024,24.9824219,1
10,-0.39575088,1.00975049,0.239169836,0.853169441,0.844000161,0.00916928053,0.013191619,0.178195268,1024,1024,26.3154297,1
11,0.902673841,0.357990742,-0.0493204594,1.21134412,1.21484697,0.00350284576,0.0191429872,0.375248879,1024,1024,28.0136719,1
12,-0.520038068,0.202542663,-0.903608918,-1.22110438,-1.23243785,0.0113334656,0.0176789332,0.320045769,1024,1024,28.7138672,1
13,0.586785197,0.0682035685,-0.19911623,0.455872536,0.439260513,0.0166120231,0.0233416297,0.557907641,1024,1024,28.5117188,1
14,0.918727756,0.998314738,0.519815683,2.43685818,2.43604684,0.000811338425,0.0107891085,0.119198576,1024,1024,24.8554688,1
