experiment,method,mesh,seed,num_query_points,valid_points,walks_per_point,epsilon,min_samples,max_samples,batch_size,target_rse,elapsed_seconds,rmse,mae,mean_relative_error,mean_std_error,mean_sample_variance,mean_samples_used,median_samples_used,min_samples_used,max_samples_used,mean_steps,diverged_count,star_queries,fast_only_star_queries,exact_star_queries,refinement_ratio
adaptive_compare,fixed,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,11412049,500,473,512,9.99999975e-05,64,512,32,0.0500000007,3.4036278,0.0226555446198,0.0168081310688,0.0751364431695,0.0203572046319,0.248688328597,512,512,512,512,25.7515691068,0,6236412,5752163,484249,0.0776486543865
adaptive_compare,old_absolute_stderr,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,11412049,500,473,512,9.99999975e-05,64,512,32,0.0500000007,3.2706902,0.0226558874318,0.0168133961247,0.0751429569357,0.0203586954486,0.248688354715,510.105708245,512,64,512,25.7550329023,0,6226286,5743884,482402,0.0774782912317
adaptive_compare,relative_stderr,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,11412049,500,473,512,9.99999975e-05,64,512,32,0.0500000007,1.6421414,0.0409322580864,0.0297701771895,0.0859169522542,0.0349034185122,0.24489400893,246.866807611,160,64,512,25.7349127634,0,3104050,2869923,234127,0.0754262979011
adaptive_compare,fixed,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,11413058,500,467,512,9.99999975e-05,64,512,32,0.0500000007,3.3008945,0.0217425850829,0.0163368897441,0.0445367533041,0.0205115235196,0.247686448232,512,512,512,512,25.9282780715,0,6199555,5719798,479757,0.0773857155877
adaptive_compare,old_absolute_stderr,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,11413058,500,467,512,9.99999975e-05,64,512,32,0.0500000007,3.2871827,0.0217426200401,0.016338175392,0.0445380091513,0.0205094441617,0.247682463316,510.355460385,512,64,512,25.9299300723,0,6192087,5713889,478198,0.0772272741
adaptive_compare,relative_stderr,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,11413058,500,467,512,9.99999975e-05,64,512,32,0.0500000007,1.5292064,0.0379269906066,0.0279988638311,0.0538749743299,0.0359704850929,0.241405053526,237.293361884,128,64,512,25.9016031147,0,2955712,2734124,221588,0.0749694151528
adaptive_compare,fixed,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,11414067,500,469,512,9.99999975e-05,64,512,32,0.0500000007,3.2319994,0.0217706091565,0.0163435466034,0.0995777192128,0.020586556671,0.248579497189,512,512,512,512,25.8571553505,0,6209027,5728550,480477,0.0773836222648
adaptive_compare,old_absolute_stderr,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,11414067,500,469,512,9.99999975e-05,64,512,32,0.0500000007,3.2684025,0.0217706235019,0.0163449872819,0.0995788195485,0.0205875160115,0.248576559789,508.315565032,512,64,512,25.8566722748,0,6196441,5719812,476629,0.0769197996075
adaptive_compare,relative_stderr,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,11414067,500,469,512,9.99999975e-05,64,512,32,0.0500000007,1.5304624,0.0410211000248,0.0297248094355,0.111062492238,0.0358861876597,0.242810654027,231.641791045,128,64,512,25.8051362068,0,2894173,2676722,217451,0.0751340711146
antithetic_compare,normal,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,117186,500,462,512,9.99999975e-05,64,512,32,0.0500000007,3.3485497,0.0224696181226,0.0167285791796,0.135336227234,0.020808697277,0.252529608015,512,512,512,512,26.0638654965,0,6165251,5691780,473471,0.0767967111152
