point_index,x,y,z
0,-1.1,-1.1,-1.1
1,-0.953333333,-1.1,-1.1
2,-0.806666667,-1.1,-1.1
3,-0.66,-1.1,-1.1
4,-0.513333333,-1.1,-1.1
5,-0.366666667,-1.1,-1.1
6,-0.22,-1.1,-1.1
7,-0.0733333333,-1.1,-1.1
8,0.0733333333,-1.1,-1.1
9,0.22,-1.1,-1.1
10,0.366666667,-1.1,-1.1
11,0.513333333,-1.1,-1.1
12,0.66,-1.1,-1.1
13,0.806666667,-1.1,-1.1
14,0.953333333,-1.1,-1.1
15,1.1,-1.1,-1.1
16,-1.1,-0.953333333,-1.1
17,-0.953333333,-0.953333333,-1.1
18,-0.806666667,-0.953333333,-1.1
19,-0.66,-0.953333333,-1.1
20,-0.513333333,-0.953333333,-1.1
21,-0.366666667,-0.953333333,-1.1
22,-0.22,-0.953333333,-1.1
23,-0.0733333333,-0.953333333,-1.1
24,0.0733333333,-0.953333333,-1.1
25,0.22,-0.953333333,-1.1
26,0.366666667,-0.953333333,-1.1
27,0.513333333,-0.953333333,-1.1
28,0.66,-0.953333333,-1.1
29,0.806666667,-0.953333333,-1.1
30,0.953333333,-0.953333333,-1.1
31,1.1,-0.953333333,-1.1
32,-1.1,-0.806666667,-1.1
33,-0.953333333,-0.806666667,-1.1
34,-0.806666667,-0.806666667,-1.1
35,-0.66,-0.806666667,-1.1
36,-0.513333333,-0.806666667,-1.1
37,-0.366666667,-0.806666667,-1.1
38,-0.22,-0.806666667,-1.1
39,-0.0733333333,-0.806666667,-1.1
40,0.0733333333,-0.806666667,-1.1
41,0.22,-0.806666667,-1.1
42,0.366666667,-0.806666667,-1.1
43,0.513333333,-0.806666667,-1.1
44,0.66,-0.806666667,-1.1
45,0.806666667,-0.806666667,-1.1
46,0.953333333,-0.806666667,-1.1
47,1.1,-0.806666667,-1.1
48,-1.1,-0.66,-1.1
49,-0.953333333,-0.66,-1.1
50,-0.806666667,-0.66,-1.1
51,-0.66,-0.66,-1.1
52,-0.513333333,-0.66,-1.1
53,-0.366666667,-0.66,-1.1
54,-0.22,-0.66,-1.1
55,-0.0733333333,-0.66,-1.1
56,0.0733333333,-0.66,-1.1
57,0.22,-0.66,-1.1
58,0.366666667,-0.66,-1.1
59,0.513333333,-0.66,-1.1
60,0.66,-0.66,-1.1
61,0.806666667,-0.66,-1.1
62,0.953333333,-0.66,-1.1
63,1.1,-0.66,-1.1
64,-1.1,-0.513333333,-1.1
65,-0.953333333,-0.513333333,-1.1
66,-0.806666667,-0.513333333,-1.1
67,-0.66,-0.513333333,-1.1
68,-0.513333333,-0.513333333,-1.1
69,-0.366666667,-0.513333333,-1.1
70,-0.22,-0.513333333,-1.1
71,-0.0733333333,-0.513333333,-1.1
72,0.0733333333,-0.513333333,-1.1
73,0.22,-0.513333333,-1.1
74,0.366666667,-0.513333333,-1.1
75,0.513333333,-0.513333333,-1.1
76,0.66,-0.513333333,-1.1
77,0.806666667,-0.513333333,-1.1
78,0.953333333,-0.513333333,-1.1
79,1.1,-0.513333333,-1.1
80,-1.1,-0.366666667,-1.1
81,-0.953333333,-0.366666667,-1.1
82,-0.806666667,-0.366666667,-1.1
83,-0.66,-0.366666667,-1.1
84,-0.513333333,-0.366666667,-1.1
85,-0.366666667,-0.366666667,-1.1
86,-0.22,-0.366666667,-1.1
87,-0.0733333333,-0.366666667,-1.1
88,0.0733333333,-0.366666667,-1.1
89,0.22,-0.366666667,-1.1
90,0.366666667,-0.366666667,-1.1
91,0.513333333,-0.366666667,-1.1
92,0.66,-0.366666667,-1.1
93,0.806666667,-0.366666667,-1.1
94,0.953333333,-0.366666667,-1.1
95,1.1,-0.366666667,-1.1
96,-1.1,-0.22,-1.1
97,-0.953333333,-0.22,-1.1
98,-0.806666667,-0.22,-1.1
99,-0.66,-0.22,-1.1
100,-0.513333333,-0.22,-1.1
101,-0.366666667,-0.22,-1.1
102,-0.22,-0.22,-1.1
103,-0.0733333333,-0.22,-1.1
104,0.0733333333,-0.22,-1.1
105,0.22,-0.22,-1.1
106,0.366666667,-0.22,-1.1
107,0.513333333,-0.22,-1.1
108,0.66,-0.22,-1.1
109,0.806666667,-0.22,-1.1
110,0.953333333,-0.22,-1.1
111,1.1,-0.22,-1.1
112,-1.1,-0.0733333333,-1.1
113,-0.953333333,-0.0733333333,-1.1
114,-0.806666667,-0.0733333333,-1.1
115,-0.66,-0.0733333333,-1.1
116,-0.513333333,-0.0733333333,-1.1
117,-0.366666667,-0.0733333333,-1.1
118,-0.22,-0.0733333333,-1.1
119,-0.0733333333,-0.0733333333,-1.1
120,0.0733333333,-0.0733333333,-1.1
121,0.22,-0.0733333333,-1.1
122,0.366666667,-0.0733333333,-1.1
123,0.513333333,-0.0733333333,-1.1
124,0.66,-0.0733333333,-1.1
125,0.806666667,-0.0733333333,-1.1
126,0.953333333,-0.0733333333,-1.1
127,1.1,-0.0733333333,-1.1
128,-1.1,0.0733333333,-1.1
129,-0.953333333,0.0733333333,-1.1
130,-0.806666667,0.0733333333,-1.1
131,-0.66,0.0733333333,-1.1
132,-0.513333333,0.0733333333,-1.1
133,-0.366666667,0.0733333333,-1.1
134,-0.22,0.0733333333,-1.1
135,-0.0733333333,0.0733333333,-1.1
136,0.0733333333,0.0733333333,-1.1
137,0.22,0.0733333333,-1.1
138,0.366666667,0.0733333333,-1.1
139,0.513333333,0.0733333333,-1.1
140,0.66,0.0733333333,-1.1
141,0.806666667,0.0733333333,-1.1
142,0.953333333,0.0733333333,-1.1
143,1.1,0.0733333333,-1.1
144,-1.1,0.22,-1.1
145,-0.953333333,0.22,-1.1
146,-0.806666667,0.22,-1.1
147,-0.66,0.22,-1.1
148,-0.513333333,0.22,-1.1
149,-0.366666667,0.22,-1.1
150,-0.22,0.22,-1.1
151,-0.0733333333,0.22,-1.1
152,0.0733333333,0.22,-1.1
153,0.22,0.22,-1.1
154,0.366666667,0.22,-1.1
155,0.513333333,0.22,-1.1
156,0.66,0.22,-1.1
157,0.806666667,0.22,-1.1
158,0.953333333,0.22,-1.1
159,1.1,0.22,-1.1
160,-1.1,0.366666667,-1.1
161,-0.953333333,0.366666667,-1.1
162,-0.806666667,0.366666667,-1.1
163,-0.66,0.366666667,-1.1
164,-0.513333333,0.366666667,-1.1
165,-0.366666667,0.366666667,-1.1
166,-0.22,0.366666667,-1.1
167,-0.0733333333,0.366666667,-1.1
168,0.0733333333,0.366666667,-1.1
169,0.22,0.366666667,-1.1
170,0.366666667,0.366666667,-1.1
171,0.513333333,0.366666667,-1.1
172,0.66,0.366666667,-1.1
173,0.806666667,0.366666667,-1.1
174,0.953333333,0.366666667,-1.1
175,1.1,0.366666667,-1.1
176,-1.1,0.513333333,-1.1
177,-0.953333333,0.513333333,-1.1
178,-0.806666667,0.513333333,-1.1
179,-0.66,0.513333333,-1.1
180,-0.513333333,0.513333333,-1.1
181,-0.366666667,0.513333333,-1.1
182,-0.22,0.513333333,-1.1
183,-0.0733333333,0.513333333,-1.1
184,0.0733333333,0.513333333,-1.1
185,0.22,0.513333333,-1.1
186,0.366666667,0.513333333,-1.1
187,0.513333333,0.513333333,-1.1
188,0.66,0.513333333,-1.1
189,0.806666667,0.513333333,-1.1
190,0.953333333,0.513333333,-1.1
191,1.1,0.513333333,-1.1
192,-1.1,0.66,-1.1
193,-0.953333333,0.66,-1.1
194,-0.806666667,0.66,-1.1
195,-0.66,0.66,-1.1
196,-0.513333333,0.66,-1.1
197,-0.366666667,0.66,-1.1
198,-0.22,0.66,-1.1
199,-0.0733333333,0.66,-1.1
200,0.0733333333,0.66,-1.1
201,0.22,0.66,-1.1
202,0.366666667,0.66,-1.1
203,0.513333333,0.66,-1.1
204,0.66,0.66,-1.1
205,0.806666667,0.66,-1.1
206,0.953333333,0.66,-1.1
207,1.1,0.66,-1.1
208,-1.1,0.806666667,-1.1
209,-0.953333333,0.806666667,-1.1
210,-0.806666667,0.806666667,-1.1
211,-0.66,0.806666667,-1.1
212,-0.513333333,0.806666667,-1.1
213,-0.366666667,0.806666667,-1.1
214,-0.22,0.806666667,-1.1
215,-0.0733333333,0.806666667,-1.1
216,0.0733333333,0.806666667,-1.1
217,0.22,0.806666667,-1.1
218,0.366666667,0.806666667,-1.1
219,0.513333333,0.806666667,-1.1
220,0.66,0.806666667,-1.1
221,0.806666667,0.806666667,-1.1
222,0.953333333,0.806666667,-1.1
223,1.1,0.806666667,-1.1
224,-1.1,0.953333333,-1.1
225,-0.953333333,0.953333333,-1.1
226,-0.806666667,0.953333333,-1.1
227,-0.66,0.953333333,-1.1
228,-0.513333333,0.953333333,-1.1
229,-0.366666667,0.953333333,-1.1
230,-0.22,0.953333333,-1.1
231,-0.0733333333,0.953333333,-1.1
232,0.0733333333,0.953333333,-1.1
233,0.22,0.953333333,-1.1
234,0.366666667,0.953333333,-1.1
235,0.513333333,0.953333333,-1.1
236,0.66,0.953333333,-1.1
237,0.806666667,0.953333333,-1.1
238,0.953333333,0.953333333,-1.1
239,1.1,0.953333333,-1.1
240,-1.1,1.1,-1.1
241,-0.953333333,1.1,-1.1
242,-0.806666667,1.1,-1.1
243,-0.66,1.1,-1.1
244,-0.513333333,1.1,-1.1
245,-0.366666667,1.1,-1.1
246,-0.22,1.1,-1.1
247,-0.0733333333,1.1,-1.1
248,0.0733333333,1.1,-1.1
249,0.22,1.1,-1.1
250,0.366666667,1.1,-1.1
251,0.513333333,1.1,-1.1
252,0.66,1.1,-1.1
253,0.806666667,1.1,-1.1
254,0.953333333,1.1,-1.1
255,1.1,1.1,-1.1
256,-1.1,-1.1,-0.953333333
257,-0.953333333,-1.1,-0.953333333
258,-0.806666667,-1.1,-0.953333333
259,-0.66,-1.1,-0.953333333
260,-0.513333333,-1.1,-0.953333333
261,-0.366666667,-1.1,-0.953333333
262,-0.22,-1.1,-0.953333333
263,-0.0733333333,-1.1,-0.953333333
264,0.0733333333,-1.1,-0.953333333
265,0.22,-1.1,-0.953333333
266,0.366666667,-1.1,-0.953333333
267,0.513333333,-1.1,-0.953333333
268,0.66,-1.1,-0.953333333
269,0.806666667,-1.1,-0.953333333
270,0.953333333,-1.1,-0.953333333
271,1.1,-1.1,-0.953333333
272,-1.1,-0.953333333,-0.953333333
273,-0.953333333,-0.953333333,-0.953333333
274,-0.806666667,-0.953333333,-0.953333333
275,-0.66,-0.953333333,-0.953333333
276,-0.513333333,-0.953333333,-0.953333333
277,-0.366666667,-0.953333333,-0.953333333
278,-0.22,-0.953333333,-0.953333333
279,-0.0733333333,-0.953333333,-0.953333333
280,0.0733333333,-0.953333333,-0.953333333
281,0.22,-0.953333333,-0.953333333
282,0.366666667,-0.953333333,-0.953333333
283,0.513333333,-0.953333333,-0.953333333
284,0.66,-0.953333333,-0.953333333
285,0.806666667,-0.953333333,-0.953333333
286,0.953333333,-0.953333333,-0.953333333
287,1.1,-0.953333333,-0.953333333
288,-1.1,-0.806666667,-0.953333333
289,-0.953333333,-0.806666667,-0.953333333
290,-0.806666667,-0.806666667,-0.953333333
291,-0.66,-0.806666667,-0.953333333
292,-0.513333333,-0.806666667,-0.953333333
293,-0.366666667,-0.806666667,-0.953333333
294,-0.22,-0.806666667,-0.953333333
295,-0.0733333333,-0.806666667,-0.953333333
296,0.0733333333,-0.806666667,-0.953333333
297,0.22,-0.806666667,-0.953333333
298,0.366666667,-0.806666667,-0.953333333
299,0.513333333,-0.806666667,-0.953333333
300,0.66,-0.806666667,-0.953333333
301,0.806666667,-0.806666667,-0.953333333
302,0.953333333,-0.806666667,-0.953333333
303,1.1,-0.806666667,-0.953333333
304,-1.1,-0.66,-0.953333333
305,-0.953333333,-0.66,-0.953333333
306,-0.806666667,-0.66,-0.953333333
307,-0.66,-0.66,-0.953333333
308,-0.513333333,-0.66,-0.953333333
309,-0.366666667,-0.66,-0.953333333
310,-0.22,-0.66,-0.953333333
311,-0.0733333333,-0.66,-0.953333333
312,0.0733333333,-0.66,-0.953333333
313,0.22,-0.66,-0.953333333
314,0.366666667,-0.66,-0.953333333
315,0.513333333,-0.66,-0.953333333
316,0.66,-0.66,-0.953333333
317,0.806666667,-0.66,-0.953333333
318,0.953333333,-0.66,-0.953333333
319,1.1,-0.66,-0.953333333
320,-1.1,-0.513333333,-0.953333333
321,-0.953333333,-0.513333333,-0.953333333
322,-0.806666667,-0.513333333,-0.953333333
323,-0.66,-0.513333333,-0.953333333
324,-0.513333333,-0.513333333,-0.953333333
325,-0.366666667,-0.513333333,-0.953333333
326,-0.22,-0.513333333,-0.953333333
327,-0.0733333333,-0.513333333,-0.953333333
328,0.0733333333,-0.513333333,-0.953333333
329,0.22,-0.513333333,-0.953333333
330,0.366666667,-0.513333333,-0.953333333
331,0.513333333,-0.513333333,-0.953333333
332,0.66,-0.513333333,-0.953333333
333,0.806666667,-0.513333333,-0.953333333
334,0.953333333,-0.513333333,-0.953333333
335,1.1,-0.513333333,-0.953333333
336,-1.1,-0.366666667,-0.953333333
337,-0.953333333,-0.366666667,-0.953333333
338,-0.806666667,-0.366666667,-0.953333333
339,-0.66,-0.366666667,-0.953333333
340,-0.513333333,-0.366666667,-0.953333333
341,-0.366666667,-0.366666667,-0.953333333
342,-0.22,-0.366666667,-0.953333333
343,-0.0733333333,-0.366666667,-0.953333333
344,0.0733333333,-0.366666667,-0.953333333
345,0.22,-0.366666667,-0.953333333
346,0.366666667,-0.366666667,-0.953333333
347,0.513333333,-0.366666667,-0.953333333
348,0.66,-0.366666667,-0.953333333
349,0.806666667,-0.366666667,-0.953333333
350,0.953333333,-0.366666667,-0.953333333
351,1.1,-0.366666667,-0.953333333
352,-1.1,-0.22,-0.953333333
353,-0.953333333,-0.22,-0.953333333
354,-0.806666667,-0.22,-0.953333333
355,-0.66,-0.22,-0.953333333
356,-0.513333333,-0.22,-0.953333333
357,-0.366666667,-0.22,-0.953333333
358,-0.22,-0.22,-0.953333333
359,-0.0733333333,-0.22,-0.953333333
360,0.0733333333,-0.22,-0.953333333
361,0.22,-0.22,-0.953333333
362,0.366666667,-0.22,-0.953333333
363,0.513333333,-0.22,-0.953333333
364,0.66,-0.22,-0.953333333
365,0.806666667,-0.22,-0.953333333
366,0.953333333,-0.22,-0.953333333
367,1.1,-0.22,-0.953333333
368,-1.1,-0.0733333333,-0.953333333
369,-0.953333333,-0.0733333333,-0.953333333
370,-0.806666667,-0.0733333333,-0.953333333
371,-0.66,-0.0733333333,-0.953333333
372,-0.513333333,-0.0733333333,-0.953333333
373,-0.366666667,-0.0733333333,-0.953333333
374,-0.22,-0.0733333333,-0.953333333
375,-0.0733333333,-0.0733333333,-0.953333333
376,0.0733333333,-0.0733333333,-0.953333333
377,0.22,-0.0733333333,-0.953333333
378,0.366666667,-0.0733333333,-0.953333333
379,0.513333333,-0.0733333333,-0.953333333
380,0.66,-0.0733333333,-0.953333333
381,0.806666667,-0.0733333333,-0.953333333
382,0.953333333,-0.0733333333,-0.953333333
383,1.1,-0.0733333333,-0.953333333
384,-1.1,0.0733333333,-0.953333333
385,-0.953333333,0.0733333333,-0.953333333
386,-0.806666667,0.0733333333,-0.953333333
387,-0.66,0.0733333333,-0.953333333
388,-0.513333333,0.0733333333,-0.953333333
389,-0.366666667,0.0733333333,-0.953333333
390,-0.22,0.0733333333,-0.953333333
391,-0.0733333333,0.0733333333,-0.953333333
392,0.0733333333,0.0733333333,-0.953333333
393,0.22,0.0733333333,-0.953333333
394,0.366666667,0.0733333333,-0.953333333
395,0.513333333,0.0733333333,-0.953333333
396,0.66,0.0733333333,-0.953333333
397,0.806666667,0.0733333333,-0.953333333
398,0.953333333,0.0733333333,-0.953333333
399,1.1,0.0733333333,-0.953333333
400,-1.1,0.22,-0.953333333
401,-0.953333333,0.22,-0.953333333
402,-0.806666667,0.22,-0.953333333
403,-0.66,0.22,-0.953333333
404,-0.513333333,0.22,-0.953333333
405,-0.366666667,0.22,-0.953333333
406,-0.22,0.22,-0.953333333
407,-0.0733333333,0.22,-0.953333333
408,0.0733333333,0.22,-0.953333333
409,0.22,0.22,-0.953333333
410,0.366666667,0.22,-0.953333333
411,0.513333333,0.22,-0.953333333
412,0.66,0.22,-0.953333333
413,0.806666667,0.22,-0.953333333
414,0.953333333,0.22,-0.953333333
415,1.1,0.22,-0.953333333
416,-1.1,0.366666667,-0.953333333
417,-0.953333333,0.366666667,-0.953333333
418,-0.806666667,0.366666667,-0.953333333
419,-0.66,0.366666667,-0.953333333
420,-0.513333333,0.366666667,-0.953333333
421,-0.366666667,0.366666667,-0.953333333
422,-0.22,0.366666667,-0.953333333
423,-0.0733333333,0.366666667,-0.953333333
424,0.0733333333,0.366666667,-0.953333333
425,0.22,0.366666667,-0.953333333
426,0.366666667,0.366666667,-0.953333333
427,0.513333333,0.366666667,-0.953333333
428,0.66,0.366666667,-0.953333333
429,0.806666667,0.366666667,-0.953333333
430,0.953333333,0.366666667,-0.953333333
431,1.1,0.366666667,-0.953333333
432,-1.1,0.513333333,-0.953333333
433,-0.953333333,0.513333333,-0.953333333
434,-0.806666667,0.513333333,-0.953333333
435,-0.66,0.513333333,-0.953333333
436,-0.513333333,0.513333333,-0.953333333
437,-0.366666667,0.513333333,-0.953333333
438,-0.22,0.513333333,-0.953333333
439,-0.0733333333,0.513333333,-0.953333333
440,0.0733333333,0.513333333,-0.953333333
441,0.22,0.513333333,-0.953333333
442,0.366666667,0.513333333,-0.953333333
443,0.513333333,0.513333333,-0.953333333
444,0.66,0.513333333,-0.953333333
445,0.806666667,0.513333333,-0.953333333
446,0.953333333,0.513333333,-0.953333333
447,1.1,0.513333333,-0.953333333
448,-1.1,0.66,-0.953333333
449,-0.953333333,0.66,-0.953333333
450,-0.806666667,0.66,-0.953333333
451,-0.66,0.66,-0.953333333
452,-0.513333333,0.66,-0.953333333
453,-0.366666667,0.66,-0.953333333
454,-0.22,0.66,-0.953333333
455,-0.0733333333,0.66,-0.953333333
456,0.0733333333,0.66,-0.953333333
457,0.22,0.66,-0.953333333
458,0.366666667,0.66,-0.953333333
