mesh,boundary,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,diverged,epsilon,walks_per_point,star_queries,fast_only_star_queries,exact_star_queries,is_valid
spot\spot_triangulated.obj,neumann,54321,0,-1.10000002,-1.10000002,-1.10000002,-3.30000019,-3.30000019,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,1,-0.953333318,-1.10000002,-1.10000002,-3.15333319,-3.15333319,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,2,-0.806666672,-1.10000002,-1.10000002,-3.00666666,-3.00666666,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,3,-0.660000026,-1.10000002,-1.10000002,-2.86000013,-2.86000013,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,4,-0.513333321,-1.10000002,-1.10000002,-2.71333337,-2.71333337,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,5,-0.366666675,-1.10000002,-1.10000002,-2.5666666,-2.5666666,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,6,-0.219999999,-1.10000002,-1.10000002,-2.42000008,-2.42000008,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,7,-0.0733333305,-1.10000002,-1.10000002,-2.27333355,-2.27333355,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,8,0.0733333305,-1.10000002,-1.10000002,-2.12666655,-2.12666655,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,9,0.219999999,-1.10000002,-1.10000002,-1.98000002,-1.98000002,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,10,0.366666675,-1.10000002,-1.10000002,-1.83333337,-1.83333337,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,11,0.513333321,-1.10000002,-1.10000002,-1.68666673,-1.68666673,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,12,0.660000026,-1.10000002,-1.10000002,-1.53999996,-1.53999996,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,13,0.806666672,-1.10000002,-1.10000002,-1.39333344,-1.39333344,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,14,0.953333318,-1.10000002,-1.10000002,-1.24666667,-1.24666667,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,15,1.10000002,-1.10000002,-1.10000002,-1.10000002,-1.10000002,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,16,-1.10000002,-0.953333318,-1.10000002,-3.15333319,-3.15333319,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
spot\spot_triangulated.obj,neumann,54321,17,-0.953333318,-0.953333318,-1.10000002,-3.00666666,-3.00666666,0,0,0,128,1,0,0.00100000005,128,128,0,128,1
