point_id,x,y,z,exact,value,abs_error,std_error,sample_variance,predicted_samples,samples_used,mean_steps,is_valid
0,-0.0401502848,-0.123813726,-0.187031746,-0.350995749,-0.377140194,0.0261444449,0.00855375826,0.00468267407,64,64,12.890625,1
1,-0.0562621504,-0.116468787,-0.142583162,-0.315314114,-0.328927815,0.0136137009,0.0175031964,0.0196071602,64,64,15.53125,1
2,-0.0556046665,0.146085054,-0.0941169858,-0.00363659859,-0.000967755099,0.0026688436,0.0259207189,0.0430005565,64,64,21.125,1
3,-0.205359891,0.157912314,0.174964309,0.127516732,0.126778036,0.000738695264,0.00953197852,0.00581495138,64,64,14.546875,1
4,-0.0711729378,-0.18980588,-0.182438612,-0.44341743,-0.443311185,0.000106245279,0.00968703162,0.00600566948,64,64,14.359375,1
5,0.0454330146,-0.167837426,-0.000856652856,-0.123261064,-0.0971414596,0.0261196047,0.024098279,0.0371665321,64,64,15.03125,1
6,-0.159665287,-0.0981083214,-0.157772958,-0.415546566,-0.42312941,0.0075828433,0.0272471532,0.0259842593,35,35,14.5714283,1
7,0.028324917,0.105330855,-0.13123244,0.00242333114,-0.0186166894,0.0210400205,0.0237146374,0.0359925777,64,64,17.671875,1
8,0.189711958,0.121197164,-0.0060942471,0.304814875,0.287402987,0.0174118876,0.0234592091,0.0352214053,64,64,17.40625,1
9,-0.076459989,0.163115263,0.201486588,0.288141847,0.293179333,0.00503748655,0.0109235132,0.00763668073,64,64,14.28125,1
10,-0.194224551,0.101671755,-0.168382078,-0.260934889,-0.274702251,0.0137673616,0.0101604676,0.00660704635,64,64,14.953125,1
11,0.137779057,0.0589639843,0.0155656785,0.21230872,0.182542443,0.0297662765,0.0299109314,0.0572584867,64,64,23.4375,1
12,0.0649405718,-0.0451626927,-0.186254427,-0.166476548,-0.168585762,0.00210921466,0.0146158906,0.0136719523,64,64,15.625,1
13,-0.137559831,-0.0289794058,-0.0431752503,-0.209714487,-0.228286847,0.0185723603,0.0200838037,0.0258149877,64,64,19.890625,1
14,-0.0443135202,0.00775116682,-0.101814061,-0.138376415,-0.167893693,0.0295172781,0.0274956562,0.0483847111,64,64,24.3125,1
15,0.108073473,-0.0140658915,-0.0565468967,0.0374606848,0.0191432741,0.0183174107,0.0300413407,0.0577588603,64,64,22.046875,1
16,0.184461355,-0.0310612619,-0.154775649,-0.00137555599,0.00363273523,0.00500829145,0.0141827697,0.0128736608,64,64,15.046875,1
17,0.109886616,0.147948742,0.086587429,0.344422787,0.329761207,0.0146615803,0.0284766331,0.0518987924,64,64,18.4375,1
18,0.158939838,-0.21789974,-0.0230613947,-0.082021296,-0.082927227,0.000905930996,0.00279988837,6.27150002e-05,8,8,4.625,1
19,0.193313062,0.0908337533,-0.166627064,0.117519751,0.107392587,0.0101271644,0.0154687641,0.0153140901,64,64,15.421875,1
