point_id,x,y,z,exact,value,abs_error,std_error,sample_variance,predicted_samples,samples_used,mean_steps,is_valid
0,0.92856729,-0.0405672789,0.629385233,1.51738524,1.52726591,0.00988066196,0.0162969641,0.271965206,1024,1024,26.734375,1
1,-0.628528118,0.209485888,-0.993366241,-1.41240847,-1.39042068,0.0219877958,0.0139798783,0.200127482,1024,1024,26.3486328,1
2,0.0736021996,0.33983016,0.813050866,1.22648323,1.25381374,0.0273305178,0.0152599653,0.23845534,1024,1024,26.6396484,1
3,0.536547661,0.0807409286,0.668089151,1.28537774,1.27908957,0.00628817081,0.0186894331,0.357677966,1024,1024,27.9726562,1
4,0.739168882,0.817262769,-0.855580091,0.70085156,0.701968908,0.00111734867,0.0155255003,0.246826142,1024,1024,25.7568359,1
5,0.0143759251,0.68236351,-1.00353837,-0.306798935,-0.296419322,0.0103796124,0.0116147455,0.138139978,1024,1024,25.1748047,1
6,-0.324473321,-0.748172879,-0.372259796,-1.444906,-1.4452126,0.000306606293,0.0213690065,0.46759364,1024,1024,29.1445312,1
7,1.0207814,0.429583788,0.473384261,1.92374945,1.91311431,0.0106351376,0.0129659204,0.172149837,1024,1024,24.7617188,1
8,-0.796637297,-0.43566364,0.445762992,-0.786538005,-0.772576153,0.0139618516,0.0195346363,0.390760481,1024,1024,28.0585938,1
9,0.205438614,0.571225524,0.38422513,1.16088927,1.15552127,0.00536799431,0.0216203853,0.47865963,1024,1024,28.3964844,1
10,-0.159364522,0.845082402,0.247017741,0.932735622,0.919255316,0.0134803057,0.0179214254,0.328885734,1024,1024,27.9160156,1
11,-0.0496964455,0.156743407,0.0726538897,0.179700851,0,0,0,0,0,0,0,0
12,-0.799686551,-0.0446873903,0.00391411781,-0.840459824,-0.825093925,0.0153658986,0.0216093939,0.478173047,1024,1024,28.6445312,1
13,-0.064421773,0.623211026,0.740287066,1.29907632,1.32124984,0.0221735239,0.0198079944,0.401773185,1024,1024,27.0009766,1
14,-0.0775125027,-0.94608748,0.239108562,-0.78449142,-0.784446061,4.53591347e-05,0.0131990369,0.178395718,1024,1024,27.515625,1
15,0.894697309,0.133783102,-0.44810158,0.58037883,0.570540488,0.00983834267,0.0189122166,0.366256088,1024,1024,27.6103516,1
16,0.0404597521,0.439143658,-0.819559157,-0.339955747,-0.331910759,0.00804498792,0.014903306,0.22743915,1024,1024,27.9716797,1
17,-0.76048708,0.662413597,-0.632074416,-0.730147898,-0.714843988,0.0153039098,0.0192005355,0.377508432,1024,1024,26.9404297,1
18,0.626206875,0.273066759,-0.979580641,-0.0803070068,-0.0658610612,0.0144459456,0.0138747776,0.197129667,1024,1024,26.2509766,1
19,-0.907201469,-0.826328516,-0.302483082,-2.03601313,-2.05208254,0.0160694122,0.0150722992,0.232626393,1024,1024,26.8339844,1
20,-0.357670426,1.08105028,-0.553326786,0.170053065,0.174710214,0.00465714931,0.0050757844,0.0263819117,1024,1024,20.5683594,1
21,0.636238217,-0.533031881,0.135147572,0.238353908,0.212060452,0.0262934566,0.0198336765,0.402815729,1024,1024,28.2490234,1
22,1.02278721,0.99920857,0.568806052,2.59080172,2.60134816,0.0105464458,0.00721044699,0.0532383174,1024,1024,23.4296875,1
23,-0.287476003,-0.14053148,0.890417099,0.462409616,0.465422422,0.00301280618,0.0049488903,0.0250793118,1024,1024,22.2216797,1
24,-0.294172287,1.06331837,0.681645751,1.45079184,1.45683074,0.00603890419,0.00803049095,0.0660365224,1024,1024,23.1416016,1
25,-0.0551383495,-1.03091478,0.560494661,-0.525558472,-0.524049103,0.00150936842,0.00982141029,0.0987751484,1024,1024,24.609375,1
26,-0.121142566,0.539623022,0.548518419,0.966998875,0.96739012,0.000391244888,0.0206902288,0.438359648,1024,1024,27.3291016,1
27,-0.47555846,-0.301451981,-0.357032597,-1.13404298,-1.13765299,0.00361001492,0.023656223,0.573047698,1024,1024,28.4658203,1
28,-0.304682016,0.019343853,-0.557114065,-0.842452228,-0.846241891,0.00378966331,0.0200439468,0.411402047,1024,1024,29.4658203,1
29,-1.01031077,0.432434797,0.267982602,-0.30989337,-0.307914197,0.00197917223,0.0130007267,0.173075348,1024,1024,25.9921875,1
30,-0.106794298,0.243894219,0.414827824,0.551927745,0,0,0,0,0,0,0,0
31,-0.111289978,0.138905287,0.764521003,0.792136312,0,0,0,0,0,0,0,0
32,0.0531742573,-0.437666655,0.221971989,-0.162520409,0,0,0,0,0,0,0,0
33,-0.460460603,-0.303011119,-0.621444225,-1.38491595,-1.3898387,0.00492274761,0.0245138537,0.615351319,1024,1024,29.0439453,1
34,0.681539178,-0.353878379,0.845318794,1.17297959,1.1715914,0.00138819218,0.0173728261,0.309058636,1024,1024,26.4794922,1
35,-0.849164724,-0.855130076,0.108944774,-1.59535003,-1.58128941,0.0140606165,0.0161608085,0.267439842,1024,1024,26.7900391,1
36,0.632954121,0.261487007,-0.78948617,0.104954958,0.104302429,0.000652529299,0.0185600128,0.35274142,1024,1024,28.8095703,1
37,-0.740175247,0.298161268,-0.889930069,-1.33194399,-1.27991498,0.0520290136,0.0174215436,0.310794443,1024,1024,26.7128906,1
38,-1.09047556,0.524576068,0.816015244,0.250115752,0.255961895,0.00584614277,0.00406364119,0.0169094969,1024,1024,18.4951172,1
39,0.844919205,-1.04947639,0.289357543,0.0848003626,0.0925731361,0.0077727735,0.00976226851,0.0975891277,1024,1024,23.8515625,1
40,-0.714381933,0.0836317539,0.191099167,-0.439651012,-0.448907971,0.00925695896,0.0204398539,0.427814543,1024,1024,29.6201172,1
41,-0.10297513,0.34159863,-1.05679107,-0.818167567,-0.819880784,0.0017132163,0.0081712883,0.0683724359,1024,1024,22.6005859,1
42,0.846607447,-0.142418563,0.562508345,1.26669717,1.25856102,0.00813615322,0.0188275669,0.362984717,1024,1024,27.0576172,1
43,-1.01820946,-0.206204355,-0.656128824,-1.88054276,-1.88639736,0.00585460663,0.0125723425,0.161857322,1024,1024,25.7998047,1
44,0.0150460005,-0.173502445,1.00888026,0.850423813,0.849458635,0.000965178013,0.00587484101,0.0122868968,356,356,21.5870781,1
45,-0.16012758,0.442463398,-0.872182012,-0.589846194,-0.640229285,0.050383091,0.0159758125,0.261352003,1024,1024,27.2929688,1
46,1.08238113,0.511789322,0.0756047964,1.66977525,1.66037798,0.0093972683,0.00911214016,0.0485731959,585,585,21.2564106,1
47,0.75739646,-1.04855323,-0.943062305,-1.23421907,-1.24315667,0.00893759727,0.00621607294,0.0395669118,1024,1024,22.7783203,1
48,-0.866579175,0.59468019,0.692920208,0.421021223,0.441688329,0.0206671059,0.0177587681,0.322942823,1024,1024,26.4326172,1
49,-0.655264676,-0.443611026,-1.00957847,-2.10845423,-2.12028074,0.0118265152,0.0120249288,0.148069292,1024,1024,25.5537109,1
50,0.325544357,0.242719054,-0.378585398,0.189678013,0.187679365,0.00199864805,0.0225556362,0.0635945871,125,125,19.1200008,1
51,-0.519046962,-0.672043443,-0.487372875,-1.67846322,-1.66219962,0.0162636042,0.0239832737,0.589002132,1024,1024,27.8173828,1
52,0.992900014,0.906671643,-0.122130215,1.7774415,1.76169121,0.015750289,0.0121252164,0.150549367,1024,1024,25.5195312,1
