point_id,x,y,z,exact,value,abs_error,std_error,sample_variance,predicted_samples,samples_used,mean_steps,is_valid
0,0.18571344,-0.00811344385,0.125877023,0.303477019,0.303587884,0.000110864639,0.00421010703,0.014374976,811,811,21.880394,1
1,-0.12570563,0.0418971777,-0.198673248,-0.2824817,-0.282339901,0.00014179945,0.00481933821,0.00708393566,305,305,20.0229511,1
2,0.0147204399,0.0679660141,0.162610173,0.245296627,0.246841192,0.00154456496,0.00478061102,0.0234027449,1024,1024,23.828125,1
3,0.10730952,0.0161481947,0.133617848,0.257075548,0.255934119,0.00114142895,0.00552127743,0.0312161315,1024,1024,24.0429688,1
4,0.147833765,0.163452566,-0.171116024,0.140170306,0.133397087,0.00677321851,0.00616343319,0.0120041789,316,316,20.6645565,1
5,0.00287519395,0.136472702,-0.200707674,-0.061359778,-0.0635316446,0.0021718666,0.00418243418,0.00745191472,426,426,19.8122063,1
6,-0.0648946613,-0.14963457,-0.0744519681,-0.288981199,-0.300563574,0.0115823746,0.00529528363,0.0287129879,1024,1024,23.0556641,1
7,0.20415628,0.0859167576,0.0946768522,0.384749889,0.384245604,0.000504285097,0.00567906071,0.00690187002,214,214,19.495327,1
8,-0.159327462,-0.0871327221,0.0891526043,-0.15730758,-0.158002168,0.000694587827,0.00674225483,0.0240018237,528,528,22.494318,1
9,0.0410877168,0.114245117,0.0768450499,0.232177883,0.234987885,0.00281000137,0.00554147642,0.0212191995,691,691,25.111433,1
10,-0.0318728983,0.169016451,0.0494035482,0.186547101,0.185541704,0.00100539625,0.00450343359,0.00886275899,437,437,23.4462242,1
11,-0.00993928313,0.0313486755,0.0145307779,0.0359401703,0.0330868103,0.00285336003,0.00363599905,0.00721838698,546,546,18.335165,1
12,-0.159937292,-0.00893746316,0.000782817602,-0.168091938,-0.165544584,0.00254735351,0.00522550708,0.027961269,1024,1024,24.5244141,1
13,-0.0128843635,0.124642223,0.148057401,0.259815276,0.261159569,0.00134429336,0.00536338938,0.0205676518,715,715,23.1370621,1
14,-0.0155024976,-0.189217493,0.0478217304,-0.15689826,-0.153734952,0.00316330791,0.00549596315,0.0197544694,654,654,22.2660542,1
15,0.178939462,0.0267566293,-0.089620322,0.116075769,0.107725449,0.00835032016,0.00455212081,0.021219125,1024,1024,21.7373047,1
16,0.00809194148,0.0878287256,-0.163911819,-0.0679911524,-0.0761999339,0.00820878148,0.00481825601,0.0237727631,1024,1024,23.5078125,1
17,-0.152097404,0.132482708,-0.12641488,-0.146029577,-0.145907477,0.000122100115,0.00504572643,0.0176433325,693,693,23.0129871,1
18,0.125241369,0.0546133518,-0.195916131,-0.0160614103,-0.0193512738,0.00328986347,0.00382454228,0.00982942712,672,672,20.9970245,1
19,-0.181440294,-0.165265694,-0.0604966134,-0.407202601,-0.409191042,0.00198844075,0.00378820975,0.0107198488,747,747,21.5863457,1
